WL(nm),Abs, T%
190,0.8376,14.53
191,-0.059,114.55
192,0.3769,41.98
193,0.4299,37.16
194,-0.0726,118.18
195,0.5134,30.66
196,0,100
197,0.0593,87.24
198,0.6838,20.71
199,-0.0142,103.33
200,0.3424,45.45
201,0.5723,26.77
202,-0.0385,109.27
203,0.4793,33.17
204,0.1981,63.37
205,0.1611,69.01
206,0.522,30.06
207,-0.0381,109.17
208,0.2041,62.5
209,0.4295,37.2
210,0.0221,95.03
211,0.4532,35.22
212,0.359,43.75
213,0.1194,75.96
214,0.4993,31.68
215,0.1761,66.67
216,0.1655,68.32
217,0.3947,40.3
218,0.1523,70.41
219,0.2608,54.85
220,0.3432,45.37
221,0.1008,79.29
222,0.3353,46.2
223,0.265,54.33
224,0.2252,59.55
225,0.256,55.46
226,0.1513,70.59
227,0.2053,62.33
228,0.6082,24.65
229,0.2723,53.41
230,0.2525,55.91
231,0.5107,30.85
232,0.1868,65.04
233,0.5266,29.75
234,0.3392,45.79
235,0.2756,53.01
236,0.534,29.24
237,0.2811,52.35
238,0.2788,52.63
239,0.5268,29.73
240,0.2655,54.27
241,0.3945,40.31
242,0.5714,26.83
243,0.2218,60
244,0.6435,22.73
245,0.426,37.5
246,0.0475,89.63
247,0.4683,34.02
248,0.2218,60
249,0.1841,65.45
250,0.6501,22.38
251,0.1234,75.26
252,0.2921,51.03
253,0.404,39.44
254,0.022,95.06
255,0.4881,32.5
256,0.2617,54.74
257,0,100
258,0.6041,24.88
259,0.0717,84.78
260,0.0809,83
261,0.4523,35.29
262,-0.0383,109.22
263,0.6807,20.86
264,0.2851,51.87
265,-0.0778,119.61
266,0.7181,19.14
267,0.1215,75.6
268,-0.0603,114.89
269,0.5863,25.93
270,-0.1791,151.04
271,0.5067,31.14
272,0.2328,58.51
273,-0.2345,171.58
274,0.4544,35.12
275,0.0744,84.25
276,-0.0179,104.2
277,0.5729,26.74
278,-0.1864,153.61
279,0.2548,55.62
280,0.3776,41.92
281,-0.2041,160
282,0.7782,16.67
283,0.1607,69.06
284,-0.1095,128.69
285,0.6762,21.08
286,-0.2074,161.22
287,0.238,57.8
288,0.5166,30.43
289,-0.0878,122.4
290,0.5075,31.08
291,0.279,52.6
292,-0.0861,121.93
293,0.5643,27.27
294,-0.0245,105.8
295,0.3083,49.17
296,0.7184,19.12
297,0.1829,65.63
298,0.669,21.43
299,0.8588,13.84
300,0.6564,22.06
301,1.3663,4.3
302,1.1216,7.56
303,1.1261,7.48
304,1.6957,2.01
305,1.4049,3.94
306,1.6718,2.13
307,1.9348,1.16
308,1.6965,2.01
309,2.1917,0.64
310,2.1934,0.64
311,2.0668,0.86
312,2.7384,0.18
313,2.3439,0.45
314,2.5673,0.27
