WL(nm),Abs, T%
315,2.44,0.36
316,2.5347,0.29
317,2.9669,0.11
318,2.5636,0.27
319,4.4657,0
320,2.6403,0.23
321,3.0058,0.1
322,3.0191,0.1
323,2.776,0.17
324,3.1867,0.07
325,2.884,0.13
326,2.9497,0.11
327,3.3522,0.04
328,2.8168,0.15
329,3.0708,0.08
330,3.3095,0.05
331,2.8994,0.13
332,3.4008,0.04
333,3.1462,0.07
334,2.9453,0.11
335,3.465,0.03
336,3.0199,0.1
337,3.1588,0.07
338,3.5609,0.03
339,2.8833,0.13
340,2.8113,0.15
341,3.3281,0.05
342,2.9186,0.12
343,2.9363,0.12
344,3.3117,0.05
345,2.9979,0.1
346,3.1678,0.07
347,2.9593,0.11
348,3.2312,0.06
349,3.2477,0.06
350,2.8832,0.13
351,3.4994,0.03
352,3.0628,0.09
353,3.0792,0.08
354,3.5452,0.03
355,3.1313,0.07
356,3.1988,0.06
357,3.3983,0.04
358,3.0797,0.08
359,3.362,0.04
360,3.3228,0.05
361,3.134,0.07
362,3.5176,0.03
363,3.1289,0.07
364,3.0981,0.08
365,3.7429,0.02
366,3.0799,0.08
367,3.3215,0.05
368,3.5271,0.03
369,3.0549,0.09
370,3.3614,0.04
371,3.2448,0.06
372,2.9694,0.11
373,3.5072,0.03
374,3.4422,0.04
375,3.1556,0.07
376,3.647,0.02
377,3.264,0.05
378,3.279,0.05
379,3.6915,0.02
380,3.3541,0.04
381,3.6237,0.02
382,3.86,0.01
383,3.3103,0.05
384,3.8886,0.01
385,3.5341,0.03
386,3.3923,0.04
387,3.7055,0.02
388,3.4623,0.03
389,3.475,0.03
390,4.1406,0.01
391,3.4541,0.04
392,3.6883,0.02
393,3.7787,0.02
394,3.447,0.04
395,3.7992,0.02
396,3.7286,0.02
397,4.2079,0.01
398,3.7394,0.02
399,3.7476,0.02
400,4.2327,0.01
401,3.6387,0.02
402,3.7711,0.02
403,3.9545,0.01
404,3.5636,0.03
405,3.9679,0.01
406,3.798,0.02
407,3.5819,0.03
408,3.8093,0.02
409,3.5927,0.03
410,3.8191,0.02
411,3.8238,0.02
412,3.7035,0.02
413,4.0093,0.01
414,4.0139,0.01
415,3.6199,0.02
416,4.0214,0.01
417,3.6268,0.02
418,3.7266,0.02
419,4.0303,0.01
420,3.6347,0.02
421,3.8584,0.01
422,4.036,0.01
423,3.7362,0.02
424,3.8619,0.01
425,4.0387,0.01
426,3.863,0.01
427,4.0394,0.01
428,3.7384,0.02
429,3.8628,0.01
430,4.038,0.01
431,3.6388,0.02
432,3.734,0.02
433,4.3342,0
434,3.7297,0.02
435,4.3294,0
436,3.6275,0.02
437,3.7211,0.02
438,4.0187,0.01
439,3.6165,0.02
440,3.8336,0.01
441,4.0045,0.01
442,3.6973,0.02
443,3.9916,0.01
444,3.8079,0.02
445,3.4987,0.03
446,4.2685,0.01
447,3.6575,0.02
448,3.5511,0.03
449,3.9383,0.01
450,3.53,0.03
451,4.2836,0.01
452,3.6902,0.02
453,3.601,0.03
454,4.0063,0.01
455,3.7124,0.02
456,3.8441,0.01
457,4.0267,0.01
458,3.8568,0.01
459,4.34,0
460,3.6472,0.02
461,3.7499,0.02
462,4.3578,0
463,3.6642,0.02
464,3.7663,0.02
465,4.0722,0.01
466,3.6787,0.02
467,3.9052,0.01
468,4.0856,0.01
469,3.7887,0.02
470,4.3948,0
471,3.6998,0.02
472,3.7039,0.02
473,4.1064,0.01
474,3.6336,0.02
475,3.9388,0.01
476,3.9428,0.01
477,3.6454,0.02
478,4.1261,0.01
479,3.8286,0.01
480,3.8321,0.01
481,3.9605,0.01
482,3.8388,0.01
483,3.9671,0.01
484,4.4476,0
485,3.752,0.02
486,4.4544,0
487,3.9807,0.01
488,3.683,0.02
489,3.9873,0.01
490,3.9905,0.01
491,3.7721,0.02
492,4.1734,0.01
493,3.7787,0.02
494,4.1801,0.01
495,4.0072,0.01
496,3.8856,0.01
497,4.1903,0.01
498,4.1937,0.01
499,4.0211,0.01
500,4.2003,0.01
501,4.0272,0.01
502,4.5072,0
503,3.9046,0.01
504,3.7317,0.02
505,4.212,0.01
506,4.2152,0.01
507,4.2182,0.01
508,3.9203,0.01
509,3.9237,0.01
510,3.9274,0.01
511,3.931,0.01
512,3.9349,0.01
513,4.2393,0.01
514,3.7657,0.02
515,3.9453,0.01
516,3.9486,0.01
517,3.776,0.02
518,4.2564,0.01
519,4.2598,0.01
520,3.9622,0.01
521,4.2668,0.01
522,3.7933,0.02
523,3.9729,0.01
524,3.9763,0.01
525,3.6786,0.02
526,3.8067,0.02
527,3.9863,0.01
528,3.8135,0.02
529,4.2938,0.01
530,3.8199,0.02
531,3.9992,0.01
532,4.3036,0
533,3.8302,0.01
534,4.0098,0.01
535,4.3141,0
536,3.84,0.01
537,4.3196,0
538,4.3221,0
539,4.0232,0.01
540,4.3258,0
541,4.0258,0.01
542,4.0284,0.01
543,4.3357,0
544,4.0435,0.01
545,4.3534,0
546,4.0611,0.01
547,3.8937,0.01
548,4.3798,0
549,3.9117,0.01
550,4.0969,0.01
551,4.4071,0
552,3.8142,0.02
553,4.4248,0
554,4.4327,0
555,4.4395,0
556,4.1441,0.01
557,4.1485,0.01
558,3.8497,0.01
559,4.1511,0.01
560,4.1493,0.01
561,4.1456,0.01
562,4.1401,0.01
563,4.1328,0.01
564,4.1238,0.01
565,4.1133,0.01
566,3.9241,0.01
567,4.3865,0
568,3.8966,0.01
569,3.7636,0.02
570,4.3616,0
571,4.0585,0.01
572,4.3591,0
573,4.3602,0
574,3.885,0.01
575,4.0634,0.01
576,4.0665,0.01
577,3.8937,0.01
578,4.3742,0
579,4.0767,0.01
580,3.9039,0.01
581,4.3842,0
582,4.086,0.01
583,4.0882,0.01
584,4.3908,0
585,3.9142,0.01
586,4.2379,0.01
587,4.0665,0.01
588,4.0704,0.01
589,4.2498,0.01
590,4.5535,0
591,4.2545,0.01
592,4.5569,0
593,4.2568,0.01
594,4.0812,0.01
595,4.5579,0
596,4.08,0.01
597,4.0787,0.01
598,4.5541,0
599,3.95,0.01
600,4.5498,0
601,4.2464,0.01
602,4.0679,0.01
603,4.5423,0
604,4.2384,0.01
605,4.2357,0.01
606,4.534,0
607,4.23,0.01
608,4.227,0.01
609,4.2243,0.01
610,4.2214,0.01
611,4.2185,0.01
612,4.2156,0.01
613,4.2132,0.01
614,4.5118,0
615,4.0321,0.01
616,4.2058,0.01
617,4.2035,0.01
618,3.9003,0.01
619,4.1989,0.01
620,4.4976,0
621,4.1945,0.01
622,4.4933,0
623,4.1899,0.01
624,4.1877,0.01
625,4.4868,0
626,4.1837,0.01
627,4.4827,0
628,4.0035,0.01
629,3.8764,0.01
630,4.1753,0.01
631,4.1731,0.01
632,4.1706,0.01
633,4.1682,0.01
634,3.865,0.01
635,4.1638,0.01
636,4.4626,0
637,3.9835,0.01
638,3.9815,0.01
639,3.9796,0.01
640,4.4548,0
641,4.4528,0
642,3.974,0.01
643,4.1483,0.01
644,4.4476,0
645,3.9688,0.01
646,4.4444,0
647,4.443,0
648,3.9646,0.01
649,4.1395,0.01
650,3.9624,0.01
651,3.9615,0.01
652,4.1367,0.01
653,4.1358,0.01
654,3.9589,0.01
655,4.4356,0
656,4.1341,0.01
657,4.4347,0
658,4.4344,0
659,3.8322,0.01
660,3.9572,0.01
661,4.4344,0
662,3.9576,0.01
663,4.435,0
664,4.1345,0.01
665,4.4361,0
666,4.437,0
667,3.9608,0.01
668,4.1378,0.01
669,4.139,0.01
670,3.9642,0.01
671,4.4428,0
672,3.9672,0.01
673,4.145,0.01
674,4.1467,0.01
675,4.1485,0.01
676,4.1505,0.01
677,4.4536,0
678,3.9786,0.01
679,4.4578,0
680,3.9828,0.01
681,4.1609,0.01
682,4.464,0
683,4.1649,0.01
684,4.1669,0.01
685,4.4698,0
686,3.9945,0.01
687,4.4733,0
688,4.4748,0
689,4.1754,0.01
690,4.4781,0
691,4.0024,0.01
692,4.481,0
693,4.4822,0
694,3.8812,0.01
695,4.1832,0.01
696,4.184,0.01
697,4.0086,0.01
698,4.1853,0.01
699,4.0096,0.01
700,4.0099,0.01
701,4.4873,0
702,4.1864,0.01
703,4.1864,0.01
704,4.4872,0
705,3.8848,0.01
706,4.0093,0.01
707,4.1848,0.01
708,4.1843,0.01
709,4.1836,0.01
710,4.1828,0.01
711,4.0058,0.01
712,4.4818,0
713,4.1795,0.01
714,3.8773,0.01
715,4.4779,0
716,3.9992,0.01
717,4.1736,0.01
718,4.473,0
719,4.1703,0.01
720,4.4696,0
721,3.9907,0.01
722,3.9888,0.01
723,4.4639,0
724,4.1608,0.01
725,4.1587,0.01
726,4.1566,0.01
727,3.9784,0.01
728,4.4532,0
729,4.1498,0.01
730,3.8462,0.01
731,4.4457,0
732,3.966,0.01
733,4.1394,0.01
734,4.4378,0
735,4.134,0.01
736,4.4322,0
737,4.1283,0.01
738,4.1255,0.01
739,4.4236,0
740,3.9435,0.01
741,4.1167,0.01
742,4.1135,0.01
743,4.1105,0.01
744,3.9311,0.01
745,4.1042,0.01
746,4.1011,0.01
747,4.0981,0.01
748,4.3961,0
749,3.9157,0.01
750,4.0884,0.01
751,3.9089,0.01
752,4.0812,0.01
753,4.3785,0
754,4.0738,0.01
755,4.3711,0
756,4.3675,0
757,4.0629,0.01
758,4.3603,0
759,4.0552,0.01
760,3.8752,0.01
761,4.3488,0
762,4.0441,0.01
763,4.0401,0.01
764,4.0365,0.01
765,3.8566,0.01
766,4.3299,0
767,3.8489,0.01
768,3.845,0.01
769,4.3184,0
770,3.7126,0.02
771,4.0098,0.01
772,4.3067,0
773,3.8251,0.01
774,3.8213,0.02
775,3.8198,0.02
776,4.1168,0.01
777,4.1126,0.01
778,3.8866,0.01
779,4.5814,0
780,4.1002,0.01
781,3.8742,0.01
782,4.2681,0.01
783,3.866,0.01
784,3.9586,0.01
785,4.2554,0.01
786,3.8533,0.01
787,4.071,0.01
788,4.0667,0.01
789,3.7613,0.02
790,4.234,0.01
791,3.6854,0.02
792,3.924,0.01
793,4.5217,0
794,3.7392,0.02
795,3.911,0.01
796,4.2076,0.01
797,4.027,0.01
798,4.4998,0
799,4.0183,0.01
800,3.8891,0.01
801,4.1857,0.01
802,3.7041,0.02
803,4.0008,0.01
804,4.1725,0.01
805,3.8672,0.01
806,3.9881,0.01
807,3.8592,0.01
808,3.679,0.02
809,4.1519,0.01
810,3.8465,0.01
811,3.8422,0.01
812,4.4395,0
813,3.5898,0.03
814,4.1294,0.01
815,4.1251,0.01
816,3.8199,0.02
817,4.4179,0
818,4.1129,0.01
819,3.808,0.02
820,4.4061,0
821,3.7999,0.02
822,3.7959,0.02
823,4.093,0.01
824,3.6122,0.02
825,3.9093,0.01
826,4.3826,0
827,3.7768,0.02
828,4.0742,0.01
829,3.8946,0.01
830,3.6694,0.02
831,4.3649,0
832,3.5161,0.03
833,4.0562,0.01
834,4.0524,0.01
835,3.5719,0.03
836,4.0456,0.01
837,3.7413,0.02
838,3.8629,0.01
839,3.8596,0.01
840,3.6346,0.02
841,3.7284,0.02
842,4.3274,0
843,3.7224,0.02
844,4.0204,0.01
845,4.0173,0.01
846,3.6165,0.02
847,3.8355,0.01
848,3.6109,0.02
849,3.608,0.02
850,4.3045,0
851,4.1745,0.01
852,4.4746,0
853,4.4738,0
854,4.473,0
855,4.1711,0.01
856,3.9943,0.01
857,4.1696,0.01
858,4.47,0
859,4.1683,0.01
860,4.4687,0
861,4.1671,0.01
862,3.9903,0.01
863,4.4667,0
864,3.989,0.01
865,3.9884,0.01
866,3.9879,0.01
867,3.9873,0.01
868,4.4638,0
869,4.4632,0
870,4.4626,0
871,4.4619,0
872,4.1603,0.01
873,3.9836,0.01
874,4.4602,0
875,4.1585,0.01
876,4.459,0
877,4.4584,0
878,4.4578,0
879,4.1561,0.01
880,4.4564,0
881,4.4556,0
882,4.4549,0
883,4.1531,0.01
884,4.1525,0.01
885,4.1517,0.01
886,4.1509,0.01
887,3.974,0.01
888,4.1492,0.01
889,3.9724,0.01
890,4.4486,0
891,4.1467,0.01
892,4.1456,0.01
893,4.4454,0
894,4.4443,0
895,4.4431,0
896,4.442,0
897,3.9637,0.01
898,4.4395,0
899,4.4383,0
900,4.1361,0.01
901,4.4359,0
902,4.4347,0
903,3.9563,0.01
904,4.1309,0.01
905,4.4303,0
906,4.4287,0
907,4.4271,0
908,4.4256,0
909,4.4238,0
910,4.4221,0
911,4.4203,0
912,4.1172,0.01
913,4.1154,0.01
914,3.9374,0.01
915,4.4125,0
916,4.4105,0
917,4.1073,0.01
918,4.1052,0.01
919,4.4041,0
920,4.4019,0
921,3.9225,0.01
922,4.0962,0.01
923,4.0938,0.01
924,4.0913,0.01
925,4.0889,0.01
926,4.3875,0
927,4.3848,0
928,4.3822,0
929,4.379,0
930,3.8982,0.01
931,4.0706,0.01
932,4.3679,0
933,4.3634,0
934,4.3606,0
935,4.0573,0.01
936,4.3551,0
937,4.3525,0
938,4.3508,0
939,4.0472,0.01
940,4.0434,0.01
941,4.34,0
942,4.3353,0
943,4.0307,0.01
944,4.3289,0
945,4.0245,0.01
946,4.3223,0
947,4.0172,0.01
948,4.0132,0.01
949,4.3105,0
950,4.3076,0
951,4.3043,0
952,4.2999,0.01
953,4.2953,0.01
954,4.2908,0.01
955,4.2867,0.01
956,4.2827,0.01
957,4.2786,0.01
958,4.5751,0
959,3.9689,0.01
960,4.0894,0.01
961,4.2609,0.01
962,4.5576,0
963,4.252,0.01
964,3.9463,0.01
965,4.0665,0.01
966,4.2379,0.01
967,4.057,0.01
968,4.2283,0.01
969,4.0472,0.01
970,4.519,0
971,4.5136,0
972,4.5081,0
973,4.5028,0
974,4.4974,0
975,3.8899,0.01
976,4.1855,0.01
977,4.1798,0.01
978,4.1741,0.01
979,4.1684,0.01
980,4.1627,0.01
981,3.9809,0.01
982,4.1508,0.01
983,4.1447,0.01
984,4.1387,0.01
985,4.4337,0
986,4.4278,0
987,4.1209,0.01
988,4.416,0
989,3.9325,0.01
990,4.403,0
991,4.3961,0
992,4.0878,0.01
993,4.3818,0
994,3.8975,0.01
995,4.0665,0.01
996,4.0595,0.01
997,3.7515,0.02
998,4.3466,0
999,4.0385,0.01
1000,4.0313,0.01
1001,4.0238,0.01
1002,4.0163,0.01
1003,3.8326,0.01
1004,4.002,0.01
1005,4.1215,0.01
1006,4.2899,0.01
1007,3.8841,0.01
1008,4.2744,0.01
1009,4.5678,0
1010,4.0831,0.01
1011,4.2515,0.01
1012,4.0668,0.01
1013,3.8356,0.01
1014,4.2244,0.01
1015,3.9148,0.01
1016,3.9061,0.01
1017,4.4993,0
1018,4.0132,0.01
1019,3.7823,0.02
1020,3.9953,0.01
1021,3.6183,0.02
1022,3.9774,0.01
1023,3.9686,0.01
1024,3.6582,0.02
1025,4.427,0
1026,3.8158,0.02
1027,3.8066,0.02
1028,4.0983,0.01
1029,3.7875,0.02
1030,4.3796,0
1031,3.8923,0.01
1032,3.8821,0.01
1033,4.0481,0.01
1034,3.8621,0.01
1035,3.6304,0.02
1036,4.0182,0.01
1037,3.6098,0.02
1038,3.5215,0.03
1039,3.5962,0.03
1040,3.8871,0.01
1041,3.877,0.01
1042,3.5655,0.03
1043,3.8561,0.01
1044,3.7665,0.02
1045,3.4552,0.04
1046,4.0475,0.01
1047,3.6115,0.02
1048,3.6598,0.02
1049,3.8924,0.01
1050,3.4048,0.04
1051,3.7747,0.02
1052,3.8598,0.01
1053,3.4505,0.04
1054,3.9626,0.01
1055,3.5836,0.03
1056,3.5147,0.03
1057,3.93,0.01
1058,3.3965,0.04
1059,3.5406,0.03
1060,3.8974,0.01
1061,3.3632,0.04
1062,3.6534,0.02
1063,3.5631,0.03
1064,3.2893,0.05
1065,3.8435,0.01
1066,3.7095,0.02
1067,3.7525,0.02
1068,3.2869,0.05
1069,3.4328,0.04
1070,4.093,0.01
1071,3.3569,0.04
1072,3.5972,0.03
1073,3.5866,0.03
1074,3.2521,0.06
1075,3.6181,0.02
1076,3.3073,0.05
1077,3.2012,0.06
1078,3.5894,0.03
1079,3.3067,0.05
1080,3.2183,0.06
1081,3.5611,0.03
1082,3.1765,0.07
1083,3.5432,0.03
1084,3.4832,0.03
1085,3.129,0.07
1086,3.5779,0.03
1087,3.1593,0.07
1088,3.1251,0.07
1089,3.6155,0.02
1090,3.0038,0.1
1091,3.2596,0.06
1092,3.4603,0.03
1093,3.0322,0.09
1094,3.443,0.04
1095,3.1947,0.06
1096,3.086,0.08
1097,3.5638,0.03
1098,3.1276,0.07
1099,3.086,0.08
1100,3.7089,0.02
