WL(nm),Abs, T%
190,0.16,69.19
191,0.55,28.18
192,0.1416,72.17
193,0.3314,46.62
194,0.4311,37.06
195,0.226,59.43
196,0.2249,59.57
197,0.4289,37.24
198,0.0606,86.98
199,0.5351,29.17
200,0.2667,54.11
201,0.0952,80.31
202,0.9237,11.92
203,0.1345,73.37
204,0.1351,73.27
205,0.4771,33.33
206,0.0449,90.18
207,0.2892,51.38
208,0.2767,52.88
209,0.0595,87.2
210,0.3873,40.99
211,0.1974,63.48
212,0.0998,79.46
213,0.5699,26.92
214,0.0515,88.82
215,0.2788,52.63
216,0.3511,44.55
217,0.0033,99.25
218,0.5558,27.81
219,0.2033,62.62
220,-0.0348,108.33
221,0.6632,21.72
222,0.0588,87.34
223,0.1544,70.08
224,0.61,24.55
225,-0.1393,137.82
226,0.5403,28.82
227,0.3527,44.39
228,0.0156,96.48
229,0.7627,17.27
230,0.1522,70.43
231,0.2097,61.7
232,0.5217,30.08
233,-0.0318,107.59
234,0.5311,29.44
235,0.4771,33.33
236,0.0371,91.81
237,0.7612,17.33
238,0.2875,51.58
239,0.1703,67.57
240,0.8436,14.33
241,0.138,72.77
242,0.4878,32.52
243,0.9355,11.6
244,0.1152,76.7
245,0.7312,18.57
246,0.3118,48.78
247,0.1672,68.04
248,0.632,23.33
249,0.0531,88.48
250,0.243,57.14
251,0.6067,24.74
252,0.0184,95.86
253,0.4912,32.27
254,0.4102,38.89
255,-0.0238,105.63
256,0.6753,21.12
257,-0.0424,110.26
258,0.2395,57.6
259,0.5836,26.09
260,-0.1139,130
261,0.3723,42.44
262,0.401,39.72
263,0.1258,74.85
264,0.6061,24.77
265,0.0895,81.37
266,0.1588,69.38
267,0.6571,22.02
268,-0.1699,147.87
269,0.2272,59.26
270,0.2341,58.33
271,0.0324,92.81
272,0.3657,43.09
273,0.2295,58.95
274,0.2254,59.51
275,0.4401,36.3
276,0.1071,78.15
277,0.1045,78.61
278,0.4305,37.11
279,0.1074,78.09
280,0.2796,52.53
281,0.2359,58.1
282,0.1303,74.07
283,0.268,53.96
284,0.1887,64.75
285,0.1335,73.54
286,0.2278,59.18
287,0.1481,71.1
288,0.2354,58.15
289,0.6655,21.6
290,0.1761,66.67
291,0.1963,63.64
292,0.4135,38.6
293,0.2121,61.36
294,0.3475,44.93
295,0.4248,37.6
296,0.2443,56.97
297,0.6782,20.98
298,0.5337,29.26
299,0.5577,27.69
300,1.3854,4.12
301,0.8522,14.05
302,1.2088,6.18
303,1.4094,3.9
304,1.2406,5.75
305,1.7833,1.65
306,1.6002,2.51
307,1.686,2.06
308,2.132,0.74
