WL(nm),Abs, T%
484,3.9705,0.01
485,4.1499,0.01
486,4.4544,0
487,3.9807,0.01
488,3.984,0.01
489,4.4644,0
490,3.6895,0.02
491,4.4711,0
492,3.9974,0.01
493,4.0006,0.01
494,4.4811,0
495,4.1833,0.01
496,4.1866,0.01
497,4.4914,0
498,4.0176,0.01
499,4.4982,0
500,4.0242,0.01
501,4.0272,0.01
502,4.5072,0
503,3.7285,0.02
504,4.2089,0.01
505,3.911,0.01
506,4.2152,0.01
507,4.2182,0.01
508,4.2213,0.01
509,3.9237,0.01
510,4.2285,0.01
511,3.931,0.01
512,4.2359,0.01
513,4.2393,0.01
514,3.9418,0.01
515,4.2463,0.01
516,3.9486,0.01
517,3.9521,0.01
518,4.2564,0.01
519,3.9588,0.01
520,4.2632,0.01
521,4.2668,0.01
522,3.9694,0.01
523,4.274,0.01
524,4.2773,0.01
525,3.9796,0.01
526,4.2838,0.01
527,4.2873,0.01
528,3.9896,0.01
529,4.2938,0.01
530,3.996,0.01
531,4.3002,0.01
532,4.3036,0
533,4.0063,0.01
534,4.3108,0
535,4.013,0.01
536,4.0161,0.01
537,4.3196,0
538,4.3221,0
539,4.3242,0
540,4.0248,0.01
541,4.0258,0.01
542,4.3294,0
543,4.0347,0.01
544,4.0435,0.01
545,4.0523,0.01
546,4.3621,0
547,4.3708,0
548,4.0788,0.01
549,3.9117,0.01
550,4.3979,0
551,4.4071,0
552,4.1152,0.01
553,4.4248,0
554,4.1316,0.01
555,4.1384,0.01
556,4.4452,0
557,3.9724,0.01
558,4.4518,0
559,4.4521,0
560,3.9732,0.01
561,4.4466,0
562,4.4411,0
563,3.9567,0.01
564,4.4249,0
565,4.1133,0.01
566,4.1002,0.01
567,4.3865,0
568,4.0727,0.01
569,4.3657,0
570,4.3616,0
571,3.8824,0.01
572,4.3591,0
573,3.8831,0.01
574,4.3621,0
575,4.3645,0
576,4.0665,0.01
577,4.0698,0.01
578,4.3742,0
579,4.0767,0.01
580,4.381,0
581,4.3842,0
582,4.387,0
583,4.3893,0
584,4.0897,0.01
585,4.0903,0.01
586,4.539,0
587,4.2426,0.01
588,4.0704,0.01
589,4.5508,0
590,4.5535,0
591,4.2545,0.01
592,4.5569,0
593,4.5578,0
594,4.5583,0
595,4.5579,0
596,4.256,0.01
597,4.2548,0.01
598,4.5541,0
599,4.552,0
600,4.2488,0.01
601,4.5475,0
602,4.0679,0.01
603,4.5423,0
604,4.5394,0
605,4.0596,0.01
606,4.534,0
607,4.23,0.01
608,4.0509,0.01
609,4.5253,0
610,4.2214,0.01
611,4.5195,0
612,4.5167,0
613,4.0371,0.01
614,4.5118,0
615,4.5092,0
616,4.2058,0.01
617,4.5045,0
618,4.5023,0
619,4.5,0
620,4.4976,0
621,3.8935,0.01
622,4.1923,0.01
623,4.4909,0
624,4.1877,0.01
625,4.4868,0
626,4.0076,0.01
627,4.4827,0
628,4.4806,0
629,4.4785,0
630,4.4764,0
631,4.4741,0
632,4.4716,0
633,4.4692,0
634,4.467,0
635,4.1638,0.01
636,4.4626,0
637,4.1596,0.01
638,4.4587,0
639,4.1557,0.01
640,4.1537,0.01
641,4.4528,0
642,3.974,0.01
643,4.1483,0.01
644,4.4476,0
645,4.1449,0.01
646,4.4444,0
647,4.443,0
648,4.1407,0.01
649,4.4405,0
650,4.1385,0.01
651,4.4386,0
652,4.4377,0
653,4.4368,0
654,4.4361,0
655,4.4356,0
656,4.1341,0.01
657,4.1337,0.01
658,4.4344,0
659,4.4343,0
660,4.4343,0
661,4.1334,0.01
662,4.1337,0.01
663,4.435,0
664,4.1345,0.01
665,4.1351,0.01
666,4.437,0
667,4.1369,0.01
668,4.4389,0
669,4.139,0.01
670,4.1403,0.01
671,4.1418,0.01
672,4.4443,0
673,4.446,0
674,4.4478,0
675,4.4496,0
676,4.4515,0
677,4.4536,0
678,4.4557,0
679,4.4578,0
680,4.1589,0.01
681,4.1609,0.01
682,4.464,0
683,4.4659,0
684,4.1669,0.01
685,4.4698,0
686,4.1706,0.01
687,4.1722,0.01
688,4.4748,0
689,4.1754,0.01
690,4.4781,0
691,4.0024,0.01
692,4.18,0.01
693,4.4822,0
694,4.4832,0
695,4.4842,0
696,4.485,0
697,4.0086,0.01
698,4.4863,0
699,4.4867,0
