WL(nm),Abs, T%
190,0.6673,21.51
191,0.3424,45.45
192,1.5482,2.83
193,0.2894,51.35
194,0.4832,32.87
195,1.6274,2.36
196,0.1738,67.02
197,0.9305,11.73
198,0.6258,23.67
199,0.2341,58.33
200,1.5185,3.03
201,0.333,46.46
202,0.2599,54.97
203,1.6968,2.01
204,0.1122,77.23
205,0.7373,18.31
206,0.8698,13.5
207,0.1682,67.89
208,0.9958,10.1
209,0.5616,27.44
210,0.4586,34.78
211,2.0607,0.87
212,0.2499,56.25
213,0.5051,31.25
214,1.0929,8.07
215,0.1761,66.67
216,0.9074,12.38
217,0.622,23.88
218,0.4018,39.64
219,1.8367,1.46
220,0.4771,33.33
221,0.4393,36.36
222,1.3536,4.43
223,0.3114,48.82
224,0.6892,20.45
225,1.0755,8.4
226,0.4746,33.53
227,1.0473,8.97
228,0.5841,26.06
229,0.743,18.07
230,1.2281,5.91
231,0.496,31.91
232,0.6506,22.36
233,1.2956,5.06
234,0.4731,33.64
235,0.8777,13.25
236,0.6889,20.47
237,0.6643,21.66
238,1.2788,5.26
239,0.5512,28.11
240,0.6095,24.57
241,2.281,0.52
242,0.6506,22.36
243,0.7645,17.2
244,1.3424,4.55
245,0.5607,27.5
246,0.7677,17.07
247,0.7693,17.01
248,0.5229,30
249,1.6154,2.42
250,0.5369,29.05
251,0.4726,33.68
252,2.1614,0.69
253,0.4912,32.27
254,0.5967,25.31
255,0.7417,18.13
256,0.6096,24.57
257,0.8641,13.68
258,0.6041,24.88
259,0.3956,40.22
260,1.0969,8
261,0.6442,22.69
262,0.4249,37.59
263,1.0661,8.59
264,0.538,28.97
265,0.3554,44.12
266,1.0191,9.57
267,0.5351,29.17
268,1.6721,2.13
269,0.513,30.69
270,0.2041,62.5
271,1.1813,6.59
272,0.4481,35.64
273,0.2702,53.68
274,1.3118,4.88
275,0.2893,51.37
276,0.9616,10.92
277,0.7667,17.11
278,0.1417,72.16
279,2.2504,0.56
280,0.5891,25.76
281,0.2083,61.9
282,1.3802,4.17
283,0.3105,48.92
284,0.5549,27.87
285,0.9866,10.31
286,0.31,48.98
287,1.0339,9.25
288,0.7735,16.85
289,0.1884,64.8
290,1.8692,1.35
291,0.3813,41.56
292,0.4771,33.33
293,2.3424,0.45
294,0.4586,34.78
295,0.8156,15.29
296,1.3583,4.38
297,0.5051,31.25
298,1.7344,1.84
299,0.914,12.19
300,0.9633,10.88
301,2.5424,0.29
302,1.2599,5.5
303,1.7659,1.71
304,2.252,0.56
305,1.709,1.95
306,2.493,0.32
307,2.3627,0.43
308,2.2712,0.54
309,3.5597,0.03
310,2.4702,0.34
311,2.6629,0.22
312,3.2043,0.06
313,2.681,0.21
314,3.3509,0.04
315,2.748,0.18
316,3.1916,0.06
317,3.3648,0.04
318,2.9738,0.11
319,4.4657,0
320,2.919,0.12
321,3.96,0.01
322,3.3436,0.05
323,3.1019,0.08
324,4.3628,0
325,3.185,0.07
326,3.2982,0.05
327,3.9543,0.01
328,3.1492,0.07
329,3.9916,0.01
330,3.5825,0.03
331,3.3553,0.04
332,4.5148,0
333,3.3503,0.04
334,3.5364,0.03
335,4.5441,0
336,3.4374,0.04
337,3.4776,0.03
338,3.9588,0.01
339,3.3604,0.04
340,4.09,0.01
341,3.3659,0.04
342,3.2196,0.06
343,4.4414,0
344,3.1791,0.07
345,3.4336,0.04
346,3.7118,0.02
347,3.7374,0.02
348,3.5322,0.03
349,3.2934,0.05
350,3.7863,0.02
351,3.3233,0.05
352,3.1794,0.07
353,4.0086,0.01
354,3.3233,0.05
355,3.5573,0.03
356,3.8678,0.01
357,3.3525,0.04
358,3.8813,0.01
359,3.663,0.02
360,3.3228,0.05
361,4.3644,0
362,3.4596,0.03
363,3.4051,0.04
364,4.3534,0
365,3.345,0.05
366,3.6362,0.02
367,3.7195,0.02
368,3.4021,0.04
369,3.9843,0.01
370,3.3614,0.04
371,3.4338,0.04
372,3.3118,0.05
373,3.5072,0.03
374,4.2204,0.01
375,3.6327,0.02
376,3.772,0.02
377,3.9629,0.01
378,3.5009,0.03
379,3.6915,0.02
380,3.8312,0.01
381,3.6237,0.02
382,4.3371,0
383,3.7497,0.02
384,3.7637,0.02
385,4.3792,0
386,3.7903,0.02
387,3.9274,0.01
388,4.4166,0
389,3.7303,0.02
390,3.9645,0.01
391,4.1531,0.01
392,3.6883,0.02
393,4.1767,0.01
394,3.8863,0.01
395,3.7992,0.02
396,4.5067,0
397,3.7308,0.02
398,4.2165,0.01
399,3.9237,0.01
400,4.2327,0.01
401,4.2407,0.01
402,3.9472,0.01
403,4.2556,0.01
404,4.2626,0.01
405,3.9679,0.01
406,4.2751,0.01
407,3.9799,0.01
408,4.2864,0.01
409,4.2917,0.01
410,4.2962,0.01
411,4.301,0.01
412,4.0046,0.01
413,4.0093,0.01
414,4.3149,0
415,4.0178,0.01
416,4.3224,0
417,4.3258,0
418,3.8516,0.01
419,4.3314,0
420,4.3336,0
421,4.0345,0.01
422,4.3371,0
423,4.0372,0.01
424,4.038,0.01
425,4.3397,0
426,4.0391,0.01
427,4.3404,0
428,4.3404,0
429,4.0389,0.01
430,4.3391,0
431,4.3378,0
432,4.035,0.01
433,4.3342,0
434,4.0308,0.01
435,3.8523,0.01
436,4.3265,0
437,3.8461,0.01
438,3.8426,0.01
439,4.3155,0
440,3.8336,0.01
441,4.0045,0.01
442,3.9984,0.01
443,3.9916,0.01
444,4.285,0.01
445,3.9758,0.01
446,4.2685,0.01
447,4.2596,0.01
448,3.949,0.01
449,3.9383,0.01
450,4.229,0.01
451,4.2836,0.01
452,3.6902,0.02
453,4.2999,0.01
454,4.0063,0.01
455,4.0134,0.01
456,4.3212,0
457,4.0267,0.01
458,4.334,0
459,4.34,0
460,4.0451,0.01
461,4.0509,0.01
462,4.3578,0
463,4.0622,0.01
464,4.3683,0
465,4.0722,0.01
466,4.3777,0
467,4.3823,0
468,4.3866,0
469,4.3907,0
470,4.3948,0
471,4.0977,0.01
472,4.4029,0
473,4.4074,0
474,4.1107,0.01
475,4.416,0
476,4.1189,0.01
477,4.1225,0.01
478,4.4271,0
479,4.4307,0
480,4.1331,0.01
481,4.4376,0
482,4.1398,0.01
483,4.4442,0
484,4.1466,0.01
485,4.1499,0.01
486,4.4544,0
487,4.1568,0.01
488,3.984,0.01
489,4.4644,0
490,4.1666,0.01
491,4.4711,0
492,4.4745,0
493,4.4777,0
494,4.4811,0
495,4.1833,0.01
496,4.0106,0.01
497,4.4914,0
498,4.4947,0
499,4.1972,0.01
500,4.5013,0
501,4.2033,0.01
502,4.5072,0
503,4.2056,0.01
504,4.2089,0.01
505,4.212,0.01
506,4.2152,0.01
507,4.2182,0.01
508,3.7442,0.02
509,3.9237,0.01
510,4.2285,0.01
511,4.232,0.01
512,4.2359,0.01
513,4.2393,0.01
514,3.9418,0.01
515,4.2463,0.01
516,4.2496,0.01
517,4.2531,0.01
518,4.2564,0.01
519,4.2598,0.01
520,4.2632,0.01
521,4.2668,0.01
522,4.2704,0.01
523,4.274,0.01
524,4.2773,0.01
525,4.2806,0.01
526,4.2838,0.01
527,3.9863,0.01
528,3.9896,0.01
529,4.2938,0.01
530,3.996,0.01
531,4.3002,0.01
532,4.3036,0
533,4.0063,0.01
534,4.3108,0
535,4.3141,0
536,4.0161,0.01
537,4.3196,0
538,4.3221,0
539,4.3242,0
540,4.3258,0
541,4.0258,0.01
542,4.3294,0
543,4.3357,0
544,4.3445,0
545,4.3534,0
546,4.3621,0
547,3.8937,0.01
548,4.3798,0
549,4.3888,0
550,4.3979,0
551,4.4071,0
552,4.1152,0.01
553,4.4248,0
554,4.1316,0.01
555,4.4395,0
556,4.4452,0
557,4.1485,0.01
558,4.4518,0
559,4.4521,0
560,4.4504,0
561,4.4466,0
562,4.4411,0
563,4.4338,0
564,4.4249,0
565,4.4143,0
566,4.4012,0
567,4.3865,0
568,4.3737,0
569,4.3657,0
570,4.3616,0
571,4.0585,0.01
572,4.3591,0
573,4.3602,0
574,4.3621,0
575,4.0634,0.01
576,4.3675,0
577,4.3708,0
578,4.3742,0
579,4.3777,0
580,4.381,0
581,4.3842,0
582,4.387,0
583,4.3893,0
584,4.3908,0
585,4.0903,0.01
586,4.539,0
587,4.5436,0
588,4.5475,0
589,4.5508,0
590,4.5535,0
591,4.5555,0
592,4.5569,0
593,4.5578,0
594,4.2573,0.01
595,4.5579,0
596,4.5571,0
597,4.2548,0.01
598,4.5541,0
599,4.552,0
600,4.2488,0.01
601,4.5475,0
602,4.244,0.01
603,4.5423,0
604,4.5394,0
605,4.5367,0
606,4.534,0
607,4.531,0
608,4.227,0.01
609,4.5253,0
610,4.2214,0.01
611,4.5195,0
612,4.5167,0
613,4.5143,0
614,4.5118,0
615,4.5092,0
616,4.5069,0
617,4.5045,0
618,4.2013,0.01
619,4.5,0
620,4.4976,0
621,4.4955,0
622,4.4933,0
623,4.4909,0
624,4.4888,0
625,4.4868,0
626,4.4847,0
627,4.4827,0
628,4.4806,0
629,4.1774,0.01
630,4.4764,0
631,4.4741,0
632,4.1706,0.01
633,4.4692,0
634,4.467,0
635,4.1638,0.01
636,4.4626,0
637,4.4606,0
638,4.4587,0
639,4.4567,0
640,4.4548,0
641,4.4528,0
642,4.4511,0
643,4.4494,0
644,4.4476,0
645,4.4459,0
646,4.1434,0.01
647,4.443,0
648,4.4417,0
649,4.4405,0
650,4.4396,0
651,4.4386,0
652,4.4377,0
653,4.4368,0
654,4.135,0.01
655,4.4356,0
656,4.4351,0
657,4.4347,0
658,4.4344,0
659,4.4343,0
660,4.1333,0.01
661,4.4344,0
662,4.4347,0
663,4.435,0
664,4.1345,0.01
665,4.4361,0
666,4.437,0
667,4.4379,0
668,4.4389,0
669,4.44,0
670,4.1403,0.01
671,4.4428,0
672,4.4443,0
673,4.446,0
674,4.4478,0
675,4.4496,0
676,4.4515,0
677,4.4536,0
678,4.4557,0
679,4.4578,0
680,4.4599,0
681,3.9848,0.01
682,4.464,0
683,4.4659,0
684,3.9908,0.01
685,4.4698,0
686,4.4716,0
687,4.1722,0.01
688,4.4748,0
689,4.4765,0
690,4.4781,0
691,4.1785,0.01
692,4.481,0
693,4.4822,0
694,4.4832,0
695,4.4842,0
696,4.485,0
697,4.4858,0
698,4.4863,0
699,4.4867,0
700,4.487,0
701,4.4873,0
702,4.4874,0
703,4.4874,0
704,4.4872,0
705,4.1858,0.01
706,4.4864,0
707,4.4859,0
708,4.4853,0
709,4.4846,0
710,4.4838,0
711,4.0058,0.01
712,4.4818,0
713,4.4806,0
714,4.4793,0
715,4.4779,0
716,4.1753,0.01
717,4.4747,0
718,4.473,0
719,4.1703,0.01
720,4.4696,0
721,4.4678,0
722,4.4659,0
723,4.4639,0
724,4.4618,0
725,4.4597,0
726,4.4576,0
727,4.1545,0.01
728,4.4532,0
729,4.4508,0
730,4.4483,0
731,4.4457,0
732,4.4431,0
733,4.4404,0
734,4.4378,0
735,4.134,0.01
736,4.1312,0.01
737,4.4294,0
738,4.4265,0
739,4.4236,0
740,4.4207,0
741,4.4177,0
742,4.4145,0
743,4.4115,0
744,4.1072,0.01
745,4.4052,0
746,4.4022,0
747,4.0981,0.01
748,4.3961,0
749,4.3928,0
750,4.3895,0
751,4.3861,0
752,4.3823,0
753,4.3785,0
754,4.3748,0
755,4.3711,0
756,4.3675,0
757,4.3639,0
758,4.3603,0
759,4.3562,0
760,4.3524,0
761,4.3488,0
762,4.3451,0
763,4.0401,0.01
764,4.3375,0
765,4.0327,0.01
766,4.3299,0
767,4.326,0
768,4.0211,0.01
769,4.3184,0
770,4.0136,0.01
771,4.0098,0.01
772,4.3067,0
773,4.0012,0.01
774,3.6963,0.02
775,4.2969,0.01
776,4.2929,0.01
777,4.5897,0
778,4.1085,0.01
779,4.5814,0
780,4.5773,0
781,4.2721,0.01
782,4.5691,0
783,4.5649,0
784,4.0836,0.01
785,4.5565,0
786,4.2512,0.01
787,4.2471,0.01
788,4.5438,0
789,4.2384,0.01
790,4.234,0.01
791,4.2295,0.01
792,4.049,0.01
793,4.5217,0
794,4.5173,0
795,4.212,0.01
796,4.5086,0
797,4.5041,0
798,4.1988,0.01
799,4.4954,0
800,4.4912,0
801,4.4868,0
802,4.1813,0.01
803,4.1769,0.01
804,4.4735,0
805,3.9921,0.01
806,4.1641,0.01
807,4.4613,0
808,4.1562,0.01
809,4.4529,0
810,4.1476,0.01
811,4.4442,0
812,4.4395,0
813,4.1339,0.01
814,4.1294,0.01
815,4.4261,0
816,4.1209,0.01
817,4.4179,0
818,4.414,0
819,3.933,0.01
820,4.4061,0
821,4.402,0
822,4.398,0
823,4.3941,0
824,4.0893,0.01
825,3.9093,0.01
826,4.3826,0
827,3.9018,0.01
828,4.3752,0
829,4.0707,0.01
830,4.3683,0
831,4.3649,0
832,4.0602,0.01
833,4.0562,0.01
834,4.3535,0
835,4.049,0.01
836,4.3466,0
837,4.3433,0
838,4.34,0
839,4.3367,0
840,4.3336,0
841,4.3304,0
842,4.3274,0
843,4.3245,0
844,4.3214,0
845,4.3183,0
846,4.0145,0.01
847,4.3126,0
848,4.3098,0
849,4.307,0
850,4.3045,0
851,4.1745,0.01
852,4.4746,0
853,4.4738,0
854,4.473,0
855,4.4722,0
856,4.4714,0
857,4.4707,0
858,4.169,0.01
859,4.4693,0
860,4.4687,0
861,4.1671,0.01
862,4.4674,0
863,4.1657,0.01
864,4.1651,0.01
865,4.4656,0
866,3.9879,0.01
867,4.4644,0
868,4.1628,0.01
869,4.1622,0.01
870,4.4626,0
871,4.1609,0.01
872,4.4613,0
873,4.4608,0
874,4.1592,0.01
875,4.4596,0
876,4.459,0
877,4.4584,0
878,4.1567,0.01
879,4.4571,0
880,4.4564,0
881,4.4556,0
882,4.4549,0
883,4.4541,0
884,4.4535,0
885,4.4527,0
886,4.4519,0
887,4.4512,0
888,4.1492,0.01
889,4.4495,0
890,4.4486,0
891,4.1467,0.01
892,4.1456,0.01
893,4.4454,0
894,4.4443,0
895,4.4431,0
896,4.442,0
897,4.4408,0
898,4.4395,0
899,4.4383,0
900,4.4372,0
901,4.4359,0
902,4.4347,0
903,4.1324,0.01
904,4.4319,0
905,4.4303,0
906,4.4287,0
907,4.1261,0.01
908,4.4256,0
909,4.4238,0
910,4.4221,0
911,4.4203,0
912,4.1172,0.01
913,4.4164,0
914,4.4145,0
915,3.9354,0.01
916,4.4105,0
917,4.4083,0
918,4.4063,0
919,4.4041,0
920,4.4019,0
921,4.3997,0
922,4.3973,0
923,4.3948,0
924,4.3923,0
925,4.0889,0.01
926,4.0864,0.01
927,4.0838,0.01
928,4.3822,0
929,4.379,0
930,4.3753,0
931,4.3716,0
932,4.3679,0
933,4.0624,0.01
934,3.8835,0.01
935,4.3584,0
936,4.3551,0
937,4.3525,0
938,4.0498,0.01
939,4.3482,0
940,4.3444,0
941,4.34,0
942,4.3353,0
943,4.3318,0
944,4.3289,0
945,4.3255,0
946,4.3223,0
947,4.3182,0
948,4.0132,0.01
949,4.3105,0
