X-Axis'	Z-Axis'
0.000000	1347.747811
196.078431	1353.729256
392.156863	1371.459969
588.235294	1361.419686
784.313725	1361.419686
980.392157	1364.837654
1176.470588	1365.692146
1372.549020	1366.119393
1568.627451	1371.459969
1764.705882	1365.051277
1960.784314	1370.819100
2156.862745	1366.973885
2352.941176	1367.401131
2549.019608	1368.896492
2745.098039	1369.964607
2941.176471	1371.032723
3137.254902	1369.323738
3333.333333	1369.964607
3529.411765	1368.469246
3725.490196	1374.237068
3921.568627	1371.032723
4117.647059	1375.946053
4313.725490	1372.955330
4509.803922	1379.150398
4705.882353	1376.586922
4901.960784	1378.509529
5098.039216	1377.227791
5294.117647	1362.915047
5490.196078	1299.682625
5686.274510	1285.369881
5882.352941	1279.602058
6078.431373	1274.047859
6274.509804	1283.233650
6470.588235	1281.311043
6666.666667	1283.660896
6862.745098	1281.311043
7058.823529	1280.029305
7254.901961	1282.592781
7450.980392	1282.592781
7647.058824	1287.506111
7843.137255	1284.515389
8039.215686	1291.992195
8235.294118	1288.360603
8431.372549	1294.982918
8627.450980	1291.992195
8823.529412	1299.469002
9019.607843	1296.264656
9215.686275	1297.973641
9411.764706	1298.400887
9607.843137	1302.673348
9803.921569	1301.605232
10000.000000	1306.945809
10196.078431	1377.014168
10392.156863	1404.998787
10588.235294	1398.803719
10784.313725	1399.230965
10980.392157	1398.590096
11176.470588	1398.590096
11372.549020	1402.435311
11568.627451	1399.658211
11764.705882	1394.104012
11960.784314	1403.717049
12156.862745	1401.153572
12352.941176	1407.775887
12549.019608	1404.144295
12745.098039	1409.698494
12941.176471	1406.066902
13137.254902	1408.203133
13333.333333	1414.398201
13529.411765	1410.125740
13725.490196	1410.552986
13921.568627	1414.184578
14117.647059	1414.611824
14313.725490	1414.184578
14509.803922	1413.757332
14705.882353	1415.893563
14901.960784	1416.107186
15098.039216	1418.884285
15294.117647	1415.039070
15490.196078	1421.875008
15686.274510	1421.447762
15882.352941	1419.738777
16078.431373	1424.652107
16274.509804	1424.652107
16470.588235	1421.875008
16666.666667	1422.943123
16862.745098	1426.788338
17058.823529	1424.652107
17254.901961	1425.933846
17450.980392	1426.788338
17647.058824	1430.847176
17843.137255	1380.432137
18039.215686	1334.930428
18235.294118	1330.230721
18431.372549	1336.425789
18627.450980	1339.416512
18823.529412	1343.261727
19019.607843	1337.921150
19215.686275	1342.620857
19411.764706	1337.707527
19607.843137	1344.970711
19803.921569	1340.911873
20000.000000	1344.970711
20196.078431	1341.339119
20392.156863	1343.048103
20588.235294	1343.475350
20784.313725	1347.534187
20980.392157	1348.815926
21176.470588	1349.670418
21372.549020	1347.961434
21568.627451	1358.428963
21764.705882	1353.942879
21960.784314	1357.360848
22156.862745	1354.156502
22352.941176	1359.069832
22549.019608	1358.428963
22745.098039	1392.608650
22941.176471	1451.354988
23137.254902	1460.113533
23333.333333	1461.395272
23529.411765	1457.550057
23725.490196	1465.454109
23921.568627	1463.745125
24117.647059	1462.036141
24313.725490	1467.163094
24509.803922	1460.327156
24705.882353	1471.435555
24901.960784	1466.308602
25098.039216	1468.872078
25294.117647	1467.803963
25490.196078	1468.658455
25686.274510	1467.376717
25882.352941	1471.008309
26078.431373	1471.435555
26274.509804	1472.930916
26470.588235	1470.794686
26666.666667	1475.280770
26862.745098	1473.144539
27058.823529	1476.989754
27254.901961	1476.776131
27450.980392	1480.621346
27647.058824	1477.417000
27843.137255	1480.407723
28039.215686	1483.612068
28235.294118	1480.194100
28431.372549	1486.602791
28627.450980	1484.893807
28823.529412	1484.466561
29019.607843	1487.670906
29215.686275	1484.039315
29411.764706	1487.457283
29607.843137	1489.807137
29803.921569	1486.602791
30000.000000	1487.030037
30196.078431	1495.147713
30392.156863	1490.875252
30588.235294	1490.875252
30784.313725	1495.361336
