X-Axis'	Z-Axis'
0.000000	1636.352547
117.647059	1640.411385
235.294118	1643.829354
352.941176	1642.120369
470.588235	1645.751961
588.235294	1645.111092
705.882353	1644.683846
823.529412	1643.829354
941.176471	1645.751961
1058.823529	1646.606453
1176.470588	1647.674569
1294.117647	1645.965584
1411.764706	1646.392830
1529.411765	1647.674569
1647.058824	1648.742684
1764.705882	1649.383553
1882.352941	1648.529061
2000.000000	1650.878914
2117.647059	1650.665291
2235.294118	1651.306160
2352.941176	1651.092537
2470.588235	1659.210213
2588.235294	1654.724129
2705.882353	1654.083260
2823.529412	1651.733406
2941.176471	1653.656014
3058.823529	1654.083260
3176.470588	1653.869637
3294.117647	1652.587899
3411.764706	1657.501229
3529.411765	1656.219490
3647.058824	1655.792244
3764.705882	1657.714852
3882.352941	1655.792244
4000.000000	1656.219490
4117.647059	1656.005867
4235.294118	1657.287606
4352.941176	1658.569344
4470.588235	1658.355721
4588.235294	1660.064705
4705.882353	1658.996590
4823.529412	1659.637459
4941.176471	1654.083260
5058.823529	1643.402108
5176.470588	1625.671395
5294.117647	1610.504158
5411.764706	1595.764168
5529.411765	1580.810555
5647.058824	1567.779549
5764.705882	1564.361580
5882.352941	1565.002449
6000.000000	1567.779549
6117.647059	1568.634041
6235.294118	1570.770272
6352.941176	1570.343026
6470.588235	1570.983895
6588.235294	1570.129403
6705.882353	1570.343026
6823.529412	1571.197518
6941.176471	1570.556649
7058.823529	1572.479256
7176.470588	1571.838387
7294.117647	1571.197518
7411.764706	1571.838387
7529.411765	1575.683602
7647.058824	1573.974617
7764.705882	1578.460701
7882.352941	1576.965340
8000.000000	1575.469979
8117.647059	1578.247078
8235.294118	1576.965340
8352.941176	1576.538094
8470.588235	1576.324471
8588.235294	1578.247078
8705.882353	1579.528817
8823.529412	1580.596932
8941.176471	1579.528817
9058.823529	1580.169686
9176.470588	1581.451424
9294.117647	1583.801278
9411.764706	1583.587654
9529.411765	1586.792000
9647.058824	1606.018074
9764.705882	1651.519783
9882.352941	1690.399178
10000.000000	1691.040047
10117.647059	1686.553963
10235.294118	1684.844979
10352.941176	1683.990487
10470.588235	1687.194832
10588.235294	1685.913094
10705.882353	1686.553963
10823.529412	1684.417733
10941.176471	1684.631356
11058.823529	1685.058602
11176.470588	1686.126717
11294.117647	1685.058602
11411.764706	1686.767586
11529.411765	1687.408455
11647.058824	1687.835701
11764.705882	1688.476571
11882.352941	1692.321785
12000.000000	1689.758309
12117.647059	1689.971932
12235.294118	1691.253670
12352.941176	1691.040047
12470.588235	1692.108162
12588.235294	1698.944100
12705.882353	1693.817147
12823.529412	1695.526131
12941.176471	1693.389901
13058.823529	1694.885262
13176.470588	1694.244393
13294.117647	1695.526131
13411.764706	1696.594246
13529.411765	1697.235116
13647.058824	1699.371346
13764.705882	1696.807869
13882.352941	1697.662362
14000.000000	1701.080330
14117.647059	1699.798592
14235.294118	1700.225838
14352.941176	1701.934823
14470.588235	1700.866707
14588.235294	1701.507576
14705.882353	1703.216561
14823.529412	1703.430184
14941.176471	1703.002938
15058.823529	1702.362069
