X-Axis'	Z-Axis'
0.000000	768.829353
117.647059	773.529060
235.294118	777.801521
352.941176	776.519783
470.588235	780.151374
588.235294	783.569343
705.882353	782.501228
823.529412	778.656013
941.176471	778.442390
1058.823529	779.937751
1176.470588	781.433113
1294.117647	781.005867
1411.764706	780.364997
1529.411765	780.578621
1647.058824	780.792244
1764.705882	781.219490
1882.352941	786.773689
2000.000000	780.792244
2117.647059	782.928474
2235.294118	783.782966
2352.941176	782.287605
2470.588235	785.491951
2588.235294	787.841804
2705.882353	783.569343
2823.529412	782.928474
2941.176471	783.782966
3058.823529	786.560066
3176.470588	785.278328
3294.117647	785.278328
3411.764706	784.423835
3529.411765	785.705574
3647.058824	789.123542
3764.705882	792.755134
3882.352941	793.823249
4000.000000	785.919197
4117.647059	787.414558
4235.294118	787.841804
4352.941176	789.550789
4470.588235	791.046150
4588.235294	789.764412
4705.882353	787.841804
4823.529412	789.550789
4941.176471	789.978035
5058.823529	790.191658
5176.470588	789.978035
5294.117647	795.532234
5411.764706	791.687019
5529.411765	792.968757
5647.058824	791.259773
5764.705882	794.891365
5882.352941	793.609626
6000.000000	792.968757
6117.647059	793.396003
6235.294118	797.454841
6352.941176	801.940925
6470.588235	794.891365
6588.235294	796.813972
6705.882353	796.600349
6823.529412	800.872810
6941.176471	797.241218
7058.823529	796.173103
7176.470588	798.522956
7294.117647	797.454841
7411.764706	798.950203
7529.411765	798.095710
7647.058824	798.095710
7764.705882	798.309333
7882.352941	806.213386
8000.000000	799.591072
8117.647059	799.591072
8235.294118	800.018318
8352.941176	803.009040
8470.588235	802.581794
8588.235294	801.940925
8705.882353	803.009040
8823.529412	802.795417
8941.176471	803.649910
9058.823529	805.999763
9176.470588	805.358894
9294.117647	807.067878
9411.764706	806.213386
9529.411765	806.427009
9647.058824	810.913093
9764.705882	807.495124
9882.352941	806.640632
10000.000000	806.640632
10117.647059	806.854255
10235.294118	807.922371
10352.941176	811.126716
10470.588235	808.349617
10588.235294	807.708748
10705.882353	810.272224
10823.529412	815.399177
10941.176471	811.981208
11058.823529	810.058601
11176.470588	811.126716
11294.117647	818.817146
11411.764706	813.262947
11529.411765	814.117439
11647.058824	817.535408
11764.705882	812.194831
11882.352941	813.903816
12000.000000	815.612800
12117.647059	816.253669
12235.294118	815.826423
12352.941176	815.612800
12470.588235	815.826423
12588.235294	815.612800
12705.882353	815.612800
12823.529412	817.535408
12941.176471	817.962654
13058.823529	817.535408
13176.470588	819.458015
13294.117647	820.098884
13411.764706	820.739753
13529.411765	823.944099
13647.058824	820.098884
13764.705882	818.389900
13882.352941	810.272224
14000.000000	788.482673
14117.647059	771.179206
14235.294118	753.662117
14352.941176	737.213142
14470.588235	725.677497
14588.235294	723.114021
14705.882353	724.182136
14823.529412	725.891120
14941.176471	726.318367
15058.823529	727.813728
15176.470588	727.600105
15294.117647	729.095466
15411.764706	728.240974
15529.411765	731.018074
15647.058824	729.309089
15764.705882	729.309089
15882.352941	729.736335
16000.000000	732.086189
16117.647059	733.367927
16235.294118	732.299812
16352.941176	732.299812
