X-Axis'	Z-Axis'
0.000000	1973.022469
196.078431	1973.022469
392.156863	1983.489999
588.235294	1981.140145
784.313725	1983.276376
980.392157	1979.217538
1176.470588	1983.276376
1372.549020	1985.198983
1568.627451	1981.567391
1764.705882	1990.112313
1960.784314	1983.062753
2156.862745	1987.335213
2352.941176	1987.548836
2549.019608	1989.685067
2745.098039	1985.839852
2941.176471	1990.112313
3137.254902	1991.821297
3333.333333	1994.171151
3529.411765	1992.889413
3725.490196	1987.762460
3921.568627	1992.248544
4117.647059	1992.675790
4313.725490	1999.938973
4509.803922	1997.802743
4705.882353	1993.316659
4901.960784	1997.161874
5098.039216	1995.880135
5294.117647	1955.291756
5490.196078	1906.799325
5686.274510	1898.040780
5882.352941	1903.167733
6078.431373	1900.817879
6274.509804	1905.517586
6470.588235	1902.954110
6666.666667	1907.440194
6862.745098	1905.944833
7058.823529	1910.217293
7254.901961	1907.867440
7450.980392	1911.712655
7647.058824	1910.644540
7843.137255	1911.712655
8039.215686	1910.858163
8235.294118	1913.421639
8431.372549	1919.403084
8627.450980	1913.421639
8823.529412	1920.257577
9019.607843	1915.771493
9215.686275	1921.966561
9411.764706	1921.325692
9607.843137	1926.025399
9803.921569	1923.461922
10000.000000	1924.743661
10196.078431	1925.811776
10392.156863	1966.400155
10588.235294	2025.146493
10784.313725	2029.205331
10980.392157	2029.846200
11176.470588	2030.273446
11372.549020	2028.778085
11568.627451	2030.700692
11764.705882	2033.691415
11960.784314	2027.496346
12156.862745	2034.973153
12352.941176	2031.341561
12549.019608	2035.400399
12745.098039	2034.973153
12941.176471	2039.672860
13137.254902	2038.818368
13333.333333	2035.400399
13529.411765	2038.391122
13725.490196	2039.672860
13921.568627	2042.663583
14117.647059	2039.031991
14313.725490	2048.004159
14509.803922	2041.381844
14705.882353	2049.072274
14901.960784	2043.945321
15098.039216	2046.936044
15294.117647	2047.576913
15490.196078	2048.645028
15686.274510	2050.140389
15882.352941	2049.285897
16078.431373	2055.053719
16274.509804	2051.208505
16470.588235	2060.394296
16666.666667	2054.412850
16862.745098	2058.471688
17058.823529	2057.617196
17254.901961	2058.258065
17450.980392	2060.394296
17647.058824	2059.112557
17843.137255	2056.335458
18039.215686	1988.616952
18235.294118	1968.322762
18431.372549	1968.109139
18627.450980	1967.895516
18823.529412	1970.886239
19019.607843	1968.322762
19215.686275	1972.381600
19411.764706	1973.449715
19607.843137	1976.226815
19803.921569	1978.149422
20000.000000	1974.731454
20196.078431	1976.440438
20392.156863	1979.003915
20588.235294	1982.208260
20784.313725	1979.644784
20980.392157	1985.412606
21176.470588	1982.849129
21372.549020	1986.267098
21568.627451	1988.403329
21764.705882	1990.325936
21960.784314	1983.276376
22156.862745	1994.598397
22352.941176	1994.598397
22549.019608	2002.929696
22745.098039	2070.861825
22941.176471	2095.855721
23137.254902	2095.642098
23333.333333	2097.137460
23529.411765	2095.428475
23725.490196	2099.273690
23921.568627	2098.632821
24117.647059	2098.632821
24313.725490	2100.769051
24509.803922	2100.555428
24705.882353	2103.973397
24901.960784	2105.468758
25098.039216	2103.118905
25294.117647	2108.459481
25490.196078	2105.896005
25686.274510	2109.100350
25882.352941	2108.032235
26078.431373	2110.382089
26274.509804	2111.022958
26470.588235	2114.013680
26666.666667	2112.731942
26862.745098	2112.945565
27058.823529	2115.936288
27254.901961	2119.995126
27450.980392	2117.645272
27647.058824	2118.713387
27843.137255	2119.995126
28039.215686	2116.790780
28235.294118	2124.694833
28431.372549	2119.140633
28627.450980	2127.685555
28823.529412	2124.908456
29019.607843	2128.326425
29215.686275	2125.335702
29411.764706	2134.094247
29607.843137	2127.899178
29803.921569	2131.744393
30000.000000	2132.171639
30196.078431	2130.676278
30392.156863	2136.016854
30588.235294	2134.521493
30784.313725	2134.521493
30980.392157	2137.725839
31176.470588	2139.007577
31372.549020	2136.871346
31568.627451	2141.143807
31764.705882	2131.744393
31960.784314	2072.570809
32156.862745	2047.149667
32352.941176	2043.304452
32549.019608	2048.645028
32745.098039	2055.267342
32941.176471	2048.431405
33137.254902	2055.267342
33333.333333	2049.926766
33529.411765	2059.112557
33725.490196	2053.771981
33921.568627	2058.044442
34117.647059	2062.957772
34313.725490	2131.958016
34509.803922	2158.874520
34705.882353	2159.942635
34901.960784	2164.428719
35098.039216	2161.437997
35294.117647	2165.924081
35490.196078	2161.010751
35686.274510	2166.992196
35882.352941	2166.351327
36078.431373	2165.924081
36274.509804	2171.691903
36470.588235	2165.924081
36666.666667	2168.701180
36862.745098	2173.187264
37058.823529	2173.614510
37254.901961	2174.469003
37450.980392	2178.314218
37647.058824	2168.060311
37843.137255	2179.382333
38039.215686	2177.032479
38235.294118	2177.459725
38431.372549	2182.373055
38627.450980	2178.955087
38823.529412	2180.450448
39019.607843	2181.304940
39215.686275	2188.995370
39411.764706	2188.140878
39607.843137	2183.654794
39803.921569	2188.140878
40000.000000	2191.345223
40196.078431	2188.568124
40392.156863	2193.054208
40588.235294	2194.122323
40784.313725	2193.695077
40980.392157	2191.131600
41176.470588	2200.744637
41372.549020	2195.831307
41568.627451	2197.540292
41764.705882	2200.531014
41960.784314	2197.967538
42156.862745	2205.871591
42352.941176	2197.967538
42549.019608	2209.289559
42745.098039	2205.871591
42941.176471	2207.794198
43137.254902	2209.075936
43333.333333	2208.862313
43529.411765	2211.853036
43725.490196	2209.075936
43921.568627	2211.212167
44117.647059	2220.611581
44313.725490	2213.989266
44509.803922	2218.048104
44705.882353	2220.397958
44901.960784	2215.271005
45098.039216	2220.825204
45294.117647	2223.815927
45490.196078	2226.593026
45686.274510	2221.252450
45882.352941	2220.611581
46078.431373	2229.370126
46274.509804	2228.515634
46470.588235	2227.447518
46666.666667	2231.506356
46862.745098	2232.147225
47058.823529	2229.370126
47254.901961	2235.778817
47450.980392	2238.128671
47647.058824	2235.778817
47843.137255	2239.624032
48039.215686	2233.428964
48235.294118	2244.964608
48431.372549	2240.692147
48627.450980	2242.828378
48823.529412	2244.323739
49019.607843	2247.955331
49215.686275	2247.314462
49411.764706	2250.091561
49607.843137	2245.178231
49803.921569	2253.295907
50000.000000	2252.441415
