X-Axis'	Z-Axis'
0.000000	1013.854988
117.647059	1019.409187
235.294118	1018.554695
352.941176	1017.913826
470.588235	1019.195564
588.235294	1020.904548
705.882353	1020.690925
823.529412	1019.622810
941.176471	1020.904548
1058.823529	1022.399910
1176.470588	1022.613533
1294.117647	1021.972664
1411.764706	1021.545418
1529.411765	1022.613533
1647.058824	1022.399910
1764.705882	1002.105720
1882.352941	983.734138
2000.000000	965.148933
2117.647059	946.990974
2235.294118	931.182869
2352.941176	925.842293
2470.588235	925.842293
2588.235294	926.055916
2705.882353	926.910408
2823.529412	927.764900
2941.176471	928.192146
3058.823529	927.978523
3176.470588	928.619392
3294.117647	930.114753
3411.764706	930.542000
3529.411765	931.182869
3647.058824	930.755623
3764.705882	930.755623
3882.352941	930.328377
4000.000000	932.250984
4117.647059	932.037361
4235.294118	933.105476
4352.941176	934.173591
4470.588235	933.532722
4588.235294	933.319099
4705.882353	933.959968
4823.529412	935.028084
4941.176471	938.018806
5058.823529	939.514168
5176.470588	936.523445
5294.117647	938.446052
5411.764706	937.591560
5529.411765	937.377937
5647.058824	937.377937
5764.705882	939.727791
5882.352941	939.941414
6000.000000	940.795906
6117.647059	940.582283
6235.294118	940.368660
6352.941176	942.291267
6470.588235	944.000252
6588.235294	963.653572
6705.882353	1003.814705
6823.529412	1044.403084
6941.176471	1039.917000
7058.823529	1044.189461
7176.470588	1041.412361
7294.117647	1041.198738
7411.764706	1041.412361
7529.411765	1044.403084
7647.058824	1045.043953
7764.705882	1042.907722
7882.352941	1045.257576
8000.000000	1045.043953
8117.647059	1045.043953
8235.294118	1043.762215
8352.941176	1045.471199
8470.588235	1045.898445
8588.235294	1046.112068
8705.882353	1045.043953
8823.529412	1046.112068
8941.176471	1045.684822
9058.823529	1046.325691
9176.470588	1046.752937
9294.117647	1047.821052
9411.764706	1048.889168
9529.411765	1048.248299
9647.058824	1048.675545
9764.705882	1050.170906
9882.352941	1051.239021
10000.000000	1051.239021
10117.647059	1049.530037
10235.294118	1052.307136
10352.941176	1050.384529
10470.588235	1050.811775
10588.235294	1052.307136
10705.882353	1053.375252
10823.529412	1052.520759
10941.176471	1052.520759
11058.823529	1052.520759
11176.470588	1054.656990
11294.117647	1054.229744
11411.764706	1054.229744
11529.411765	1054.656990
11647.058824	1055.725105
11764.705882	1055.511482
11882.352941	1055.938728
12000.000000	1055.938728
12117.647059	1057.647713
12235.294118	1056.793220
12352.941176	1057.861336
12470.588235	1059.570320
12588.235294	1058.074959
12705.882353	1060.852058
12823.529412	1062.774666
12941.176471	1061.065681
13058.823529	1060.852058
13176.470588	1062.133797
13294.117647	1061.706550
13411.764706	1062.988289
13529.411765	1062.347420
13647.058824	1061.920174
13764.705882	1063.201912
13882.352941	1064.056404
14000.000000	1064.270027
14117.647059	1066.192634
14235.294118	1066.619881
14352.941176	1067.687996
14470.588235	1067.260750
14588.235294	1068.328865
14705.882353	1067.474373
14823.529412	1067.474373
14941.176471	1066.833504
15058.823529	1069.183357
15176.470588	1072.601326
15294.117647	1070.037849
15411.764706	1068.328865
15529.411765	1071.533211
15647.058824	1071.746834
15764.705882	1072.174080
15882.352941	1071.533211
16000.000000	1071.746834
16117.647059	1078.796394
16235.294118	1073.669441
16352.941176	1074.951179
16470.588235	1072.814949
16588.235294	1074.951179
16705.882353	1075.164802
16823.529412	1076.660164
16941.176471	1076.232918
17058.823529	1075.164802
17176.470588	1078.582771
17294.117647	1082.641609
17411.764706	1080.078133
17529.411765	1076.873787
17647.058824	1077.728279
17764.705882	1079.650886
17882.352941	1081.573494
18000.000000	1080.719002
18117.647059	1080.078133
18235.294118	1083.496101
18352.941176	1082.641609
18470.588235	1083.496101
18588.235294	1083.282478
18705.882353	1086.273201
18823.529412	1084.991463
18941.176471	1084.136970
19058.823529	1084.350593
19176.470588	1084.564217
19294.117647	1087.768562
19411.764706	1088.195808
19529.411765	1087.341316
19647.058824	1087.341316
19764.705882	1087.341316
19882.352941	1092.895515
20000.000000	1091.613777
20117.647059	1088.836677
20235.294118	1089.263924
20352.941176	1088.836677
20470.588235	1089.050301
20588.235294	1090.972908
20705.882353	1091.400154
20823.529412	1090.972908
20941.176471	1092.895515
21058.823529	1094.390877
21176.470588	1093.750008
21294.117647	1093.750008
21411.764706	1093.322761
21529.411765	1095.672615
21647.058824	1089.904793
21764.705882	1068.115242
21882.352941	1049.957283
22000.000000	1032.012947
22117.647059	1014.282234
22235.294118	1000.183113
22352.941176	997.833259
22470.588235	1000.396736
22588.235294	1001.251228
22705.882353	1002.319343
22823.529412	1002.532966
22941.176471	1003.387459
23058.823529	1003.601082
23176.470588	1003.814705
23294.117647	1004.669197
23411.764706	1004.669197
23529.411765	1006.378181
23647.058824	1007.232673
23764.705882	1007.019050
23882.352941	1007.873543
24000.000000	1008.087166
24117.647059	1008.087166
24235.294118	1008.728035
24352.941176	1009.368904
24470.588235	1010.009773
24588.235294	1012.786873
24705.882353	1011.718757
24823.529412	1012.573250
24941.176471	1012.786873
25058.823529	1014.068611
25176.470588	1014.282234
25294.117647	1013.854988
25411.764706	1015.563972
25529.411765	1017.486580
25647.058824	1017.913826
25764.705882	1018.127449
25882.352941	1017.700203
26000.000000	1019.409187
26117.647059	1020.477302
26235.294118	1020.690925
26352.941176	1036.285408
26470.588235	1060.211189
26588.235294	1123.870857
26705.882353	1126.007088
26823.529412	1125.152595
26941.176471	1125.579842
27058.823529	1125.152595
27176.470588	1124.298103
27294.117647	1126.007088
27411.764706	1125.152595
27529.411765	1126.007088
27647.058824	1128.784187
27764.705882	1124.725349
27882.352941	1126.007088
28000.000000	1126.220711
28117.647059	1127.288826
28235.294118	1130.493172
28352.941176	1128.143318
28470.588235	1133.270271
28588.235294	1129.638679
28705.882353	1128.784187
28823.529412	1129.425056
28941.176471	1129.852302
29058.823529	1131.774910
29176.470588	1131.134041
29294.117647	1135.406502
29411.764706	1136.047371
29529.411765	1133.911140
29647.058824	1132.415779
29764.705882	1134.338386
29882.352941	1136.901863
30000.000000	1135.620125
