t	U
0	0.0082
1	0.0088
2	0.0089
3	0.0089
4	0.0090
5	0.0091
6	0.0092
7	0.0093
8	0.0092
9	0.0092
10	0.0092
11	0.0093
12	0.0092
13	0.0091
14	0.0090
15	0.0087
16	0.0087
17	0.0087
18	0.0088
19	0.0089
20	0.0094
21	0.0097
22	0.0099
23	0.0104
24	0.0108
25	0.0114
26	0.0121
27	0.0129
28	0.0143
29	0.0154
30	0.0168
31	0.0182
32	0.0201
33	0.0218
34	0.0236
35	0.0247
36	0.0254
37	0.0250
38	0.0243
39	0.0235
40	0.0225
41	0.0219
42	0.0209
43	0.0199
44	0.0191
45	0.0180
46	0.0171
47	0.0161
48	0.0152
49	0.0143
50	0.0136
51	0.0131
52	0.0125
53	0.0121
54	0.0112
55	0.0109
56	0.0105
57	0.0104
58	0.0103
59	0.0099
60	0.0097
61	0.0094
62	0.0089
63	0.0084
64	0.0079
65	0.0072
66	0.0071
67	0.0068
68	0.0065
69	0.0062
70	0.0060
71	0.0058
72	0.0057
73	0.0054
74	0.0053
75	0.0052
76	0.0051
77	0.0051
78	0.0050
79	0.0050
80	0.0049
81	0.0049
82	0.0049
83	0.0049
84	0.0048
85	0.0048
86	0.0047
87	0.0047
88	0.0045
89	0.0045
90	0.0044
91	0.0042
92	0.0040
93	0.0040
94	0.0038
95	0.0036
96	0.0035
97	0.0033
98	0.0032
99	0.0029
100	0.0028
101	0.0026
102	0.0026
103	0.0024
104	0.0024
105	0.0024
106	0.0022
107	0.0022
108	0.0022
109	0.0021
110	0.0020
111	0.0020
112	0.0021
113	0.0022
114	0.0024
115	0.0026
116	0.0031
117	0.0034
118	0.0038
119	0.0040
120	0.0042
121	0.0046
122	0.0051
123	0.0053
124	0.0056
125	0.0059
126	0.0060
127	0.0062
128	0.0064
129	0.0064
130	0.0065
131	0.0065
132	0.0065
133	0.0066
134	0.0066
135	0.0065
136	0.0064
137	0.0061
138	0.0059
139	0.0058
140	0.0057
141	0.0056
142	0.0056
143	0.0057
144	0.0058
145	0.0060
146	0.0062
147	0.0064
148	0.0064
149	0.0062
150	0.0060
151	0.0061
152	0.0063
153	0.0063
154	0.0063
155	0.0065
156	0.0067
157	0.0068
158	0.0071
159	0.0075
160	0.0078
161	0.0079
162	0.0080
163	0.0080
164	0.0077
165	0.0074
166	0.0071
167	0.0069
168	0.0068
169	0.0067
170	0.0067
171	0.0066
172	0.0065
173	0.0063
174	0.0062
175	0.0061
176	0.0059
177	0.0056
178	0.0054
179	0.0051
180	0.0048
181	0.0046
182	0.0043
183	0.0040
184	0.0036
185	0.0035
186	0.0034
187	0.0031
188	0.0029
189	0.0027
190	0.0026
191	0.0025
192	0.0025
193	0.0025
194	0.0025
195	0.0026
196	0.0027
197	0.0027
198	0.0028
199	0.0029
200	0.0029
201	0.0030
202	0.0029
203	0.0029
204	0.0029
205	0.0029
206	0.0029
207	0.0029
208	0.0029
209	0.0032
210	0.0028
211	0.0029
212	0.0028
213	0.0028
214	0.0028
215	0.0027
216	0.0027
217	0.0026
218	0.0026
219	0.0025
220	0.0025
221	0.0025
222	0.0025
223	0.0025
224	0.0025
225	0.0025
226	0.0024
227	0.0025
228	0.0025
229	0.0025
230	0.0024
231	0.0024
232	0.0024
233	0.0023
234	0.0024
235	0.0024
236	0.0023
237	0.0022
238	0.0021
239	0.0020
240	0.0019
241	0.0020
242	0.0020
243	0.0019
244	0.0018
245	0.0018
246	0.0018
247	0.0018
248	0.0018
249	0.0018
250	0.0018
251	0.0019
252	0.0019
253	0.0019
254	0.0018
255	0.0019
256	0.0019
257	0.0019
258	0.0019
259	0.0019
260	0.0019
261	0.0019
262	0.0019
263	0.0019
264	0.0019
265	0.0019
266	0.0019
267	0.0019
268	0.0019
269	0.0019
270	0.0019
271	0.0018
272	0.0018
273	0.0019
274	0.0019
275	0.0019
276	0.0019
277	0.0019
