[Header]
; MPMS3 Data File (default extension .dat)
; Copyright (c) 2007, Quantum Design, Inc. All rights reserved.
TITLE,
FILEOPENTIME,3972828571.90096,11-20-2025,7:29 pm
BYAPP,MPMS3,1.0,1.1
INFO,MPMS3 Measurement Release 1.1.16 Build 424, MultiVu Release 2.3.4.19,APPNAME
INFO,Linear Motor Servo Controller,MOTOR_MODULE_NAME
INFO,3101-100 E4,MOTOR_HW_VERSION
INFO,MMC589,MOTOR_SERIAL_NUMBER
INFO,01.04.28,MOTOR_SOFTWARE_VERSION
INFO,Quantum Design Squid Module,SQUID_MODULE_NAME
INFO,3101-501 B0,SQUID_HW_VERSION
INFO,SQM154,SQUID_SERIAL_NUMBER
INFO,01.03.04,SQUID_SOFTWARE_VERSION
INFO,TCIXXX,COIL_SERIAL_NUMBER
INFO,0,MOMENT_UNITS
INFO,LSCO(3)STO(111),SAMPLE_MATERIAL
INFO,IN PLANE,SAMPLE_COMMENT
INFO,,SAMPLE_MASS
INFO,,SAMPLE_VOLUME
INFO,,SAMPLE_MOLECULAR_WEIGHT
INFO,3*3,SAMPLE_SIZE
INFO,,SAMPLE_SHAPE
INFO,Quartz,SAMPLE_HOLDER
INFO,Standard,SAMPLE_HOLDER_DETAIL
INFO,68.5,SAMPLE_OFFSET
DATATYPE,COMMENT,1
DATATYPE,TIME,2
STARTUPAXIS,X,2
STARTUPAXIS,Y1,5
FIELDGROUP, VSM,2,3,4,5,6,8,9,10,11,14,15
FIELDGROUP, DC, 2,3,4,14,34,35,36,37,38,39,40,41,42,43,44,45,46,47
STARTUPGROUP, All
[Data]
Comment,Time Stamp (sec),Temperature (K),Magnetic Field (Oe),Moment (emu),M. Std. Err. (emu),Transport Action,Averaging Time (sec),Frequency (Hz),Peak Amplitude (mm),Center Position (mm),Lockin Signal' (V),Lockin Signal (V),Range,M. Quad. Signal (emu),Min. Temperature (K),Max. Temperature (K),Min. Field (Oe),Max. Field (Oe),Mass (grams),Motor Lag (deg),Pressure (Torr),Measure Count,Measurement Number,SQUID Status (code),Motor Status (code),Measure Status (code),Motor Current (amps),Motor Temp. (C),Temp. Status (code),Field Status (code),Chamber Status (code),Chamber Temp (K),Redirection State,Average Temp (K),Rotation Angle (deg),Rotator state,DC Moment Fixed Ctr (emu),DC Moment Err Fixed Ctr (emu),DC Moment Free Ctr (emu),DC Moment Err Free Ctr (emu),DC Fixed Fit,DC Free Fit,DC Calculated Center (mm),DC Calculated Center Err (mm),DC Scan Length (mm),DC Scan Time (s),DC Number of Points,DC Squid Drift,DC Min V (V),DC Max V (V),DC Scans per Measure,Map 01,Map 02,Map 03,Map 04,Map 05,Map 06,Map 07,Map 08,Map 09,Map 10,Map 11,Map 12,Map 13,Map 14,Map 15,Map 16
,3972832413.9998,25.5531854629517,99.9516067504883,,,6,,,,32.329999627173,,,1,,25.3831195831299,25.7087364196777,99.9516067504883,99.9516067504883,,,6.7464165687561,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,25.7232513427734,0,25.5375915103489,,,-1.65862527163609E-5,8.2534756496755E-7,-1.66741870095717E-5,8.25528019178319E-7,0.899176120758057,0.991087317466736,31.9491786956787,0,30,4,200,-9.86845989245921E-5,-0.555132865905762,-0.470802783966064,1,,,,,,,,,,,,,,,,
,3972832424.27971,25.8852968215942,99.9516067504883,,,6,,,,32.329999627173,,,1,,25.7232513427734,26.0353393554687,99.9516067504883,99.9516067504883,,,6.75658321380615,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,26.047342300415,0,25.8740363650852,,,-1.65859076668723E-5,8.253555799058E-7,-1.66743764208986E-5,8.25535263633908E-7,0.898878633975983,0.991401255130768,31.9478569030762,0,30,4,200,-0.000106832238088828,-0.556296527385712,-0.471802860498428,1,,,,,,,,,,,,,,,,
,3972832434.5864,26.2133178710938,99.9516067504883,,,6,,,,32.329999627173,,,1,,26.047342300415,26.3447322845459,99.9516067504883,99.9516067504883,,,6.76765489578247,,1,0,0,0,0.0138092041015625,31.2805480957031,2,1,1,26.3792934417725,0,26.2036510043674,,,-1.65711254705575E-5,8.2455456557817E-7,-1.66580885087899E-5,8.24729088094788E-7,0.899655401706696,0.991336405277252,31.9509029388428,0.0477392189204693,30,4,200,-0.000114017071609851,-0.55729740858078,-0.472846657037735,1,,,,,,,,,,,,,,,,
,3972832444.90593,26.5604524612427,99.9516067504883,,,6,,,,32.329999627173,,,1,,26.389102935791,26.7206325531006,99.9516067504883,99.9516067504883,,,6.7786979675293,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,26.7318019866943,0,26.5459940168593,,,-1.6568670292436E-5,8.24498218116269E-7,-1.66570798397473E-5,8.24678344793138E-7,0.898871600627899,0.991457462310791,31.9479007720947,,30,4,200,-0.000131028122268617,-0.558687090873718,-0.474016964435577,1,,,,,,,,,,,,,,,,
,3972832455.45174,26.9098243713379,99.9516067504883,,,6,,,,32.329999627173,,,1,,26.7547340393066,27.0361881256104,99.9516067504883,99.9516067504883,,,6.78880977630615,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,27.0649147033691,0,26.8908410072327,,,-1.65614707784564E-5,8.24094481254459E-7,-1.66486145828028E-5,8.24271372378021E-7,0.899414777755737,0.989896953105927,31.9505023956299,0,30,4,200,-0.000138807867188007,-0.560210883617401,-0.475382655858994,1,,,,,,,,,,,,,,,,
,3972832465.56462,27.2300443649292,99.9516067504883,,,6,,,,32.329999627173,,,1,,27.0649147033691,27.3595542907715,99.9516067504883,99.9516067504883,,,6.79858350753784,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,27.3951740264893,0,27.212925169203,,,-1.6556580458509E-5,8.23888335316256E-7,-1.66445315411807E-5,8.24066758799479E-7,0.898967504501343,0.990155935287476,31.9486522674561,0,30,4,200,-0.00014085293514654,-0.561449706554413,-0.476932048797607,1,,,,,,,,,,,,,,,,
,3972832475.8951,27.5675439834595,99.9516067504883,,,6,,,,32.329999627173,,,1,,27.3951740264893,27.7259788513184,99.9516067504883,99.9516067504883,,,6.80734729766846,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,27.7399139404297,0,27.5577623579237,,,-1.65550777756815E-5,8.2378426139324E-7,-1.66425859720064E-5,8.23961073615605E-7,0.89931845664978,0.991409718990326,31.9495811462402,5.6523962020874,30,4,200,-0.000129678533994593,-0.562537729740143,-0.478174149990082,1,,,,,,,,,,,,,,,,
,3972832486.19457,27.9051952362061,99.9516067504883,,,6,,,,32.329999627173,,,1,,27.7399139404297,28.0420875549316,99.9516067504883,99.9516067504883,,,6.81912994384766,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,28.0704765319824,0,27.8871222601997,,,-1.65484991160963E-5,8.23458337302726E-7,-1.66359412326435E-5,8.23635919421373E-7,0.899303913116455,0.990913867950439,31.9496841430664,5.65240526199341,30,4,200,-0.000133969908347353,-0.563948333263397,-0.479407608509064,1,,,,,,,,,,,,,,,,
,3972832496.47662,28.2443437576294,99.9516067504883,,,6,,,,32.329999627173,,,1,,28.0704765319824,28.406810760498,99.9516067504883,99.9516067504883,,,6.82753324508667,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,28.4182109832764,0,28.2325744628906,,,-1.65401169853188E-5,8.23022688306525E-7,-1.66270911248499E-5,8.23196844362356E-7,0.899523615837097,0.991012394428253,31.950496673584,0,30,4,200,-0.000127756531583145,-0.565064966678619,-0.480875998735428,1,,,,,,,,,,,,,,,,
,3972832506.83103,28.5890321731567,99.9516067504883,,,6,,,,32.329999627173,,,1,,28.4182109832764,28.7486209869385,99.9516067504883,99.9516067504883,,,6.83759784698486,,1,0,0,0,0.0138092041015625,30.7917900085449,2,1,1,28.7598533630371,0,28.5822895897759,,,-1.65392504304276E-5,8.22945204220345E-7,-1.66253864272218E-5,8.23118899590115E-7,0.899936556816101,0.990186095237732,31.9523658752441,,30,4,200,-0.000171992563991807,-0.56658136844635,-0.481985807418823,1,,,,,,,,,,,,,,,,
