 WL        Abs       T%
 190.0  2.739770   0.182066
 191.0  2.806219   0.156236
 192.0  3.302683   0.049810
 193.0  2.869064   0.135187
 194.0  3.075099   0.084120
 195.0  4.186066   0.006515
 196.0  3.063216   0.086454
 197.0  4.016114   0.009636
 198.0  3.136161   0.073087
 199.0  3.370715   0.042588
 200.0  3.539688   0.028861
 201.0  2.816005   0.152755
 202.0  3.909422   0.012319
 203.0  3.287802   0.051546
 204.0  3.788428   0.016277
 205.0  3.591999   0.025586
 206.0  3.318523   0.048026
 207.0  4.040801   0.009103
 208.0  3.515703   0.030500
 209.0  3.536270   0.029089
 210.0  3.802620   0.015754
 211.0  3.471210   0.033790
 212.0  3.744058   0.018028
 213.0  3.858131   0.013863
 214.0  3.697883   0.020050
 215.0  3.887350   0.012961
 216.0  3.723073   0.018920
 217.0  3.512124   0.030752
 218.0  4.045023   0.009015
 219.0  3.576891   0.026492
 220.0  3.693790   0.020240
 221.0  4.244846   0.005691
 222.0  3.706949   0.019636
 223.0  3.857682   0.013878
 224.0  3.861535   0.013755
 225.0  3.521768   0.030077
 226.0  4.087628   0.008173
 227.0  3.720833   0.019018
 228.0  3.663324   0.021711
 229.0  4.265266   0.005429
 230.0  3.611570   0.024459
 231.0  3.865578   0.013628
 232.0  4.085410   0.008215
 233.0  3.656386   0.022060
 234.0  3.953458   0.011131
 235.0  3.949110   0.011243
 236.0  3.642835   0.022760
 237.0  4.063209   0.008646
 238.0  3.689639   0.020434
 239.0  3.574905   0.026613
 240.0  4.223366   0.005979
 241.0  3.617289   0.024139
 242.0  3.818134   0.015201
 243.0  4.037852   0.009165
 244.0  3.668453   0.021456
 245.0  3.814354   0.015334
 246.0  3.815325   0.015299
 247.0  3.474110   0.033565
 248.0  4.040141   0.009117
 249.0  3.616069   0.024206
 250.0  3.675399   0.021115
 251.0  4.044802   0.009020
 252.0  3.568293   0.027021
 253.0  3.568254   0.027024
 254.0  3.919732   0.012030
 255.0  3.617092   0.024149
 256.0  4.216575   0.006073
 257.0  3.669397   0.021409
 258.0  3.607227   0.024704
 259.0  3.903484   0.012489
 260.0  3.800978   0.015813
 261.0  3.590396   0.025681
 262.0  4.486629   0.003261
 263.0  3.437592   0.036510
 264.0  3.868953   0.013522
 265.0  3.861116   0.013768
 266.0  3.455210   0.035058
 267.0  4.146408   0.007138
 268.0  3.740789   0.018164
 269.0  3.586298   0.025924
 270.0  3.946813   0.011303
 271.0  3.571726   0.026809
 272.0  3.564886   0.027234
 273.0  3.802500   0.015758
 274.0  3.496653   0.031867
 275.0  3.793825   0.016076
 276.0  3.547898   0.028321
 277.0  3.436233   0.036624
 278.0  3.911530   0.012259
 279.0  3.608847   0.024612
 280.0  3.431239   0.037048
 281.0  4.384336   0.004127
 282.0  3.480313   0.033089
 283.0  3.537280   0.029022
 284.0  3.904445   0.012461
 285.0  3.380356   0.041653
 286.0  4.078167   0.008353
 287.0  3.901186   0.012555
 288.0  3.532445   0.029346
 289.0  4.076294   0.008389
 290.0  3.599046   0.025174
 291.0  3.598809   0.025188
 292.0  3.775064   0.016786
 293.0  3.531826   0.029388
 294.0  3.598426   0.025210
 295.0  3.773640   0.016841
 296.0  3.420194   0.038002
 297.0  3.895901   0.012709
 298.0  3.592492   0.025557
 299.0  3.413561   0.038587
 300.0  4.064178   0.008626
 301.0  3.459016   0.034752
 302.0  3.455606   0.035026
 303.0  3.878196   0.013237
 304.0  3.448088   0.035638
 305.0  3.569023   0.026976
 306.0  3.866071   0.013612
 307.0  3.435626   0.036675
 308.0  4.033444   0.009259
 309.0  3.630672   0.023406
 310.0  3.421151   0.037918
 311.0  4.018264   0.009588
 312.0  3.469022   0.033961
 313.0  4.309332   0.004905
 314.0  3.454170   0.035142
 315.0  3.390891   0.040655
 316.0  3.987990   0.010280
 317.0  3.470377   0.033855
 318.0  3.624706   0.023730
 319.0  3.795266   0.016023
 320.0  3.312788   0.048664
 321.0  3.659857   0.021885
 322.0  3.602578   0.024970
 323.0  3.404846   0.039369
 324.0  4.068099   0.008549
 325.0  3.392282   0.040525
 326.0  3.417127   0.038271
 327.0  3.824699   0.014973
 328.0  3.286245   0.051731
 329.0  3.664951   0.021630
 330.0  3.804058   0.015702
 331.0  3.240591   0.057466
 332.0  3.710033   0.019497
 333.0  3.401200   0.039701
 334.0  3.327184   0.047078
 335.0  3.989480   0.010245
 336.0  3.380422   0.041646
 337.0  3.452859   0.035248
 338.0  3.968841   0.010744
 339.0  3.184408   0.065402
 340.0  3.775489   0.016769
 341.0  3.146319   0.071397
 342.0  3.189139   0.064693
 343.0  3.676259   0.021074
 344.0  3.084085   0.082398
 345.0  3.257635   0.055254
 346.0  3.611341   0.024471
 347.0  3.207841   0.061967
 348.0  3.488913   0.032440
 349.0  3.346549   0.045025
 350.0  3.182148   0.065743
 351.0  3.892577   0.012806
 352.0  3.235330   0.058166
 353.0  3.248271   0.056458
 354.0  3.928942   0.011778
 355.0  3.210870   0.061536
 356.0  3.519484   0.030235
 357.0  3.649935   0.022391
 358.0  3.176413   0.066617
 359.0  3.656050   0.022077
 360.0  3.258605   0.055131
 361.0  3.287242   0.051613
 362.0  3.953744   0.011124
 363.0  3.279960   0.052486
 364.0  3.465102   0.034269
 365.0  3.711436   0.019434
 366.0  3.222959   0.059847
 367.0  3.482624   0.032914
 368.0  3.523765   0.029939
 369.0  3.069551   0.085202
 370.0  2.897444   0.126636
 371.0  3.768786   0.017030
 372.0  3.561650   0.027438
 373.0  3.372521   0.042411
 374.0  3.989161   0.010253
 375.0  3.527200   0.029703
 376.0  3.475630   0.033448
 377.0  4.035290   0.009220
 378.0  3.351990   0.044464
 379.0  3.764942   0.017181
 380.0  4.080573   0.008307
 381.0  3.550560   0.028147
 382.0  3.931983   0.011695
 383.0  3.820907   0.015104
 384.0  3.481968   0.032963
 385.0  3.846662   0.014234
 386.0  3.615905   0.024216
 387.0  3.627000   0.023605
 388.0  4.006067   0.009861
 389.0  3.650127   0.022381
 390.0  4.505571   0.003122
 391.0  3.607938   0.024664
 392.0  3.744632   0.018004
 393.0  3.630631   0.023408
 394.0  3.640730   0.022870
 395.0  3.951313   0.011186
 396.0  3.784332   0.016431
 397.0  3.571196   0.026841
 398.0  3.977427   0.010534
 399.0  3.684621   0.020672
 400.0  3.817323   0.015229
 401.0  4.302310   0.004985
 402.0  3.611022   0.024489
 403.0  3.840127   0.014450
 404.0  3.847223   0.014216
 405.0  3.853536   0.014011
 406.0  4.336680   0.004606
 407.0  3.865617   0.013626
 408.0  3.871125   0.013455
 409.0  4.353455   0.004431
 410.0  3.881195   0.013146
 411.0  3.760875   0.017343
 412.0  4.066625   0.008578
 413.0  3.594485   0.025440
 414.0  4.076186   0.008391
 415.0  3.904409   0.012462
 416.0  3.686189   0.020597
 417.0  4.388421   0.004089
 418.0  3.914343   0.012180
 419.0  3.792006   0.016143
 420.0  4.095431   0.008027
 421.0  3.796349   0.015983
 422.0  3.922795   0.011946
 423.0  4.100130   0.007941
 424.0  3.924900   0.011888
 425.0  3.800580   0.015828
 426.0  4.102160   0.007904
 427.0  3.801387   0.015798
 428.0  3.926360   0.011848
 429.0  3.624935   0.023717
 430.0  3.624059   0.023765
 431.0  3.923849   0.011917
 432.0  3.445137   0.035881
 433.0  3.494242   0.032045
 434.0  3.395222   0.040251
 435.0  3.246551   0.056682
 436.0  3.310782   0.048890
 437.0  3.182718   0.065657
 438.0  3.044616   0.090237
 439.0  3.056796   0.087741
 440.0  2.927169   0.118258
 441.0  2.850349   0.141140
 442.0  2.806482   0.156142
 443.0  2.702641   0.198316
 444.0  2.695073   0.201803
 445.0  2.624322   0.237508
 446.0  2.553499   0.279577
 447.0  2.523375   0.299658
 448.0  2.462293   0.344911
 449.0  2.410475   0.388620
 450.0  2.373134   0.423513
 451.0  2.290275   0.512536
 452.0  2.240195   0.575181
 453.0  2.202442   0.627420
 454.0  2.160362   0.691254
 455.0  2.130483   0.740486
 456.0  2.091547   0.809940
 457.0  2.054860   0.881333
 458.0  2.029348   0.934656
 459.0  1.994912   1.011784
 460.0  1.964206   1.085911
 461.0  1.939107   1.150516
 462.0  1.907588   1.237121
 463.0  1.886508   1.298651
 464.0  1.860520   1.378732
 465.0  1.834033   1.465436
 466.0  1.814617   1.532438
 467.0  1.792360   1.613022
 468.0  1.773558   1.684387
