Sample Name, AL4
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 2.4144, 0.39
191.0, 3.6513, 0.02
192.0, 2.6495, 0.22
193.0, 3.3162, 0.05
194.0, 2.8377, 0.15
195.0, 3.2318, 0.06
196.0, 2.9451, 0.11
197.0, 3.2032, 0.06
198.0, 3.4635, 0.03
199.0, 3.0899, 0.08
200.0, 3.4885, 0.03
201.0, 2.9010, 0.13
202.0, 3.6084, 0.02
203.0, 3.3969, 0.04
204.0, 3.2655, 0.05
205.0, 3.9899, 0.01
206.0, 3.3643, 0.04
207.0, 3.4967, 0.03
208.0, 3.7587, 0.02
209.0, 3.2674, 0.05
210.0, 3.8026, 0.02
211.0, 3.6473, 0.02
212.0, 3.4888, 0.03
213.0, 4.1592, 0.01
214.0, 3.5218, 0.03
215.0, 3.4894, 0.03
216.0, 4.0241, 0.01
217.0, 3.4707, 0.03
218.0, 3.7440, 0.02
219.0, 3.8322, 0.01
220.0, 3.6938, 0.02
221.0, 3.9438, 0.01
222.0, 3.7069, 0.02
223.0, 3.5153, 0.03
224.0, 4.2595, 0.01
225.0, 3.6089, 0.02
226.0, 3.6617, 0.02
227.0, 4.2649, 0.01
228.0, 3.5250, 0.03
229.0, 3.7881, 0.02
230.0, 3.8668, 0.01
231.0, 3.5645, 0.03
232.0, 3.8636, 0.01
233.0, 3.6564, 0.02
234.0, 3.4763, 0.03
235.0, 4.0740, 0.01
236.0, 3.6428, 0.02
237.0, 3.6952, 0.02
238.0, 3.7566, 0.02
239.0, 3.4500, 0.04
240.0, 3.9223, 0.01
241.0, 3.7422, 0.02
242.0, 3.5629, 0.03
243.0, 4.0379, 0.01
244.0, 3.5593, 0.03
245.0, 3.5591, 0.03
246.0, 3.9122, 0.01
247.0, 3.4016, 0.04
248.0, 3.7391, 0.02
249.0, 3.7410, 0.02
250.0, 3.4413, 0.04
251.0, 4.2209, 0.01
252.0, 3.5683, 0.03
253.0, 3.5683, 0.03
254.0, 3.9197, 0.01
255.0, 3.5659, 0.03
256.0, 3.6145, 0.02
257.0, 3.8155, 0.02
258.0, 3.5103, 0.03
259.0, 3.8066, 0.02
260.0, 3.7218, 0.02
261.0, 3.4935, 0.03
262.0, 4.0095, 0.01
263.0, 3.5247, 0.03
264.0, 3.5679, 0.03
265.0, 3.8611, 0.01
266.0, 3.3413, 0.05
267.0, 3.6023, 0.02
268.0, 3.7408, 0.02
269.0, 3.3900, 0.04
270.0, 3.7250, 0.02
271.0, 3.5717, 0.03
272.0, 3.4557, 0.04
273.0, 4.1035, 0.01
274.0, 3.3997, 0.04
275.0, 3.4416, 0.04
276.0, 3.9159, 0.01
277.0, 3.3113, 0.05
278.0, 3.6897, 0.02
279.0, 3.7849, 0.02
280.0, 3.3441, 0.05
281.0, 3.9072, 0.01
282.0, 3.4292, 0.04
283.0, 3.4793, 0.03
284.0, 4.0805, 0.01
285.0, 3.3390, 0.05
286.0, 3.4761, 0.03
287.0, 3.7762, 0.02
288.0, 3.3775, 0.04
289.0, 3.7753, 0.02
290.0, 3.5321, 0.03
291.0, 3.3770, 0.04
292.0, 3.7751, 0.02
293.0, 3.4227, 0.04
294.0, 3.4735, 0.03
295.0, 3.8986, 0.01
296.0, 3.4202, 0.04
297.0, 3.6741, 0.02
298.0, 3.7686, 0.02
299.0, 3.2886, 0.05
300.0, 3.5871, 0.03
301.0, 3.5170, 0.03
302.0, 3.3173, 0.05
303.0, 3.8782, 0.01
304.0, 3.2372, 0.06
305.0, 3.3929, 0.04
306.0, 3.4981, 0.03
307.0, 3.0834, 0.08
308.0, 3.3345, 0.05
309.0, 3.0992, 0.08
310.0, 2.9818, 0.10
311.0, 3.0888, 0.08
312.0, 2.8828, 0.13
313.0, 3.0541, 0.09
314.0, 2.6918, 0.20
315.0, 2.6456, 0.23
316.0, 2.5901, 0.26
317.0, 2.4670, 0.34
318.0, 2.4359, 0.37
319.0, 2.3586, 0.44
320.0, 2.2714, 0.54
321.0, 2.2512, 0.56
322.0, 2.1821, 0.66
323.0, 2.1277, 0.75
324.0, 2.0934, 0.81
325.0, 2.0319, 0.93
326.0, 2.0086, 0.98
327.0, 1.9747, 1.06
328.0, 1.9301, 1.17
329.0, 1.9113, 1.23
330.0, 1.8706, 1.35
331.0, 1.8331, 1.47
332.0, 1.8226, 1.50
333.0, 1.7823, 1.65
334.0, 1.7623, 1.73
335.0, 1.7498, 1.78
336.0, 1.7208, 1.90
337.0, 1.7101, 1.95
338.0, 1.6993, 2.00
339.0, 1.6710, 2.13
340.0, 1.6638, 2.17
341.0, 1.6604, 2.19
342.0, 1.6513, 2.23
343.0, 1.6309, 2.34
344.0, 1.6340, 2.32
345.0, 1.6242, 2.38
346.0, 1.6070, 2.47
347.0, 1.6108, 2.45
348.0, 1.5960, 2.53
349.0, 1.5914, 2.56
350.0, 1.5926, 2.56
351.0, 1.5773, 2.65
352.0, 1.5794, 2.63
353.0, 1.5782, 2.64
354.0, 1.5660, 2.72
355.0, 1.5693, 2.70
356.0, 1.5634, 2.73
357.0, 1.5553, 2.78
358.0, 1.5636, 2.73
359.0, 1.5545, 2.79
