 WL        Abs       T%
 402.0  0.061381  86.819801
 403.0  0.061108  86.874435
 404.0  0.061277  86.840729
 405.0  0.061331  86.829811
 406.0  0.061023  86.891441
 407.0  0.061251  86.845924
 408.0  0.061364  86.823326
 409.0  0.061265  86.843040
 410.0  0.061431  86.809814
 411.0  0.061492  86.797615
 412.0  0.061508  86.794472
 413.0  0.061667  86.762764
 414.0  0.061392  86.817703
 415.0  0.061633  86.769409
 416.0  0.061639  86.768265
 417.0  0.061532  86.789589
 418.0  0.061579  86.780342
 419.0  0.061486  86.798759
 420.0  0.061505  86.795113
 421.0  0.061589  86.778275
 422.0  0.061459  86.804169
 423.0  0.061430  86.810127
 424.0  0.061537  86.788704
 425.0  0.061403  86.815437
 426.0  0.061339  86.828163
 427.0  0.061379  86.820183
 428.0  0.061335  86.829117
 429.0  0.061454  86.805290
 430.0  0.061369  86.822205
 431.0  0.061299  86.836151
 432.0  0.061541  86.787872
 433.0  0.061433  86.809532
 434.0  0.061512  86.793587
 435.0  0.061515  86.792992
 436.0  0.061461  86.803833
 437.0  0.061630  86.770081
 438.0  0.061597  86.776749
 439.0  0.061516  86.792854
 440.0  0.061578  86.780418
 441.0  0.061581  86.779869
 442.0  0.061493  86.797356
 443.0  0.061454  86.805336
 444.0  0.061268  86.842468
 445.0  0.061434  86.809174
 446.0  0.061274  86.841248
 447.0  0.060929  86.910187
 448.0  0.061038  86.888512
 449.0  0.060948  86.906471
 450.0  0.060895  86.917038
 451.0  0.053248  88.460999
 452.0  0.053208  88.469208
 453.0  0.053004  88.510643
 454.0  0.052873  88.537422
 455.0  0.052672  88.578453
 456.0  0.052393  88.635414
 457.0  0.052356  88.642906
 458.0  0.052330  88.648239
 459.0  0.051958  88.724091
 460.0  0.051939  88.728157
 461.0  0.051939  88.728111
 462.0  0.051608  88.795670
 463.0  0.051542  88.809250
 464.0  0.051519  88.813980
 465.0  0.051384  88.841576
 466.0  0.051353  88.847870
 467.0  0.051130  88.893387
 468.0  0.051153  88.888878
 469.0  0.051048  88.910202
 470.0  0.051014  88.917183
 471.0  0.050956  88.929169
 472.0  0.050929  88.934662
 473.0  0.050772  88.966743
 474.0  0.050685  88.984718
 475.0  0.050539  89.014595
 476.0  0.050445  89.033752
 477.0  0.050577  89.006828
 478.0  0.050357  89.051765
 479.0  0.050398  89.043457
 480.0  0.050333  89.056824
 481.0  0.050237  89.076485
 482.0  0.050158  89.092598
 483.0  0.050140  89.096436
 484.0  0.050070  89.110741
 485.0  0.050084  89.107933
 486.0  0.049870  89.151871
 487.0  0.049858  89.154221
 488.0  0.050029  89.119209
 489.0  0.049994  89.126404
 490.0  0.049986  89.128036
 491.0  0.049853  89.155296
 492.0  0.049739  89.178741
 493.0  0.049691  89.188538
 494.0  0.049551  89.217331
 495.0  0.049605  89.206238
 496.0  0.049581  89.211037
 497.0  0.049513  89.225143
 498.0  0.049410  89.246185
 499.0  0.049415  89.245277
 500.0  0.049449  89.238274
 501.0  0.049311  89.266594
 502.0  0.049255  89.278107
 503.0  0.049269  89.275192
 504.0  0.049211  89.287079
 505.0  0.049231  89.282990
 506.0  0.049125  89.304924
 507.0  0.049138  89.302101
 508.0  0.048982  89.334320
 509.0  0.048984  89.333755
 510.0  0.048919  89.347122
 511.0  0.048817  89.368263
 512.0  0.048941  89.342728
 513.0  0.048939  89.343002
 514.0  0.048872  89.356934
 515.0  0.048838  89.363968
 516.0  0.048818  89.367996
 517.0  0.048852  89.360954
 518.0  0.048768  89.378197
 519.0  0.048797  89.372238
 520.0  0.048752  89.381462
 521.0  0.048728  89.386543
 522.0  0.048733  89.385536
 523.0  0.048799  89.371994
 524.0  0.048690  89.394371
 525.0  0.048777  89.376503
 526.0  0.048754  89.381142
 527.0  0.048731  89.386002
 528.0  0.048788  89.374153
 529.0  0.048803  89.371063
 530.0  0.048835  89.364487
 531.0  0.048820  89.367599
 532.0  0.048818  89.367920
 533.0  0.048822  89.367210
 534.0  0.048775  89.376823
 535.0  0.048936  89.343666
 536.0  0.048840  89.363525
 537.0  0.048816  89.368439
 538.0  0.048928  89.345329
 539.0  0.048923  89.346413
 540.0  0.048974  89.335793
 541.0  0.049004  89.329681
 542.0  0.048869  89.357521
 543.0  0.048857  89.359947
 544.0  0.048803  89.371155
 545.0  0.048981  89.334488
 546.0  0.048902  89.350700
 547.0  0.049033  89.323753
 548.0  0.049120  89.305954
 549.0  0.048996  89.331329
 550.0  0.049190  89.291443
 551.0  0.049066  89.316963
 552.0  0.049056  89.319115
 553.0  0.049007  89.329025
 554.0  0.049044  89.321419
 555.0  0.049115  89.306931
 556.0  0.049236  89.282059
 557.0  0.049441  89.239990
 558.0  0.049650  89.196938
 559.0  0.049675  89.191742
 560.0  0.049608  89.205482
 561.0  0.049730  89.180481
 562.0  0.049712  89.184128
 563.0  0.049750  89.176346
 564.0  0.049978  89.129700
 565.0  0.050176  89.089027
 566.0  0.050282  89.067169
 567.0  0.050140  89.096336
 568.0  0.050093  89.105927
 569.0  0.050089  89.106857
 570.0  0.050261  89.071571
 571.0  0.050160  89.092331
 572.0  0.050125  89.099472
 573.0  0.050039  89.117104
 574.0  0.050046  89.115562
 575.0  0.050114  89.101791
 576.0  0.050154  89.093407
 577.0  0.050187  89.086700
 578.0  0.050380  89.047150
 579.0  0.050310  89.061569
 580.0  0.050382  89.046661
 581.0  0.050404  89.042206
 582.0  0.050504  89.021782
 583.0  0.050617  88.998543
 584.0  0.050699  88.981735
 585.0  0.050846  88.951630
 586.0  0.050302  89.063133
 587.0  0.050427  89.037567
 588.0  0.050469  89.028961
 589.0  0.050625  88.996979
 590.0  0.050628  88.996300
 591.0  0.050825  88.955925
 592.0  0.050815  88.957901
 593.0  0.050808  88.959366
 594.0  0.050991  88.921890
 595.0  0.051224  88.874260
 596.0  0.051078  88.904076
 597.0  0.051105  88.898682
 598.0  0.051337  88.851189
 599.0  0.051429  88.832359
 600.0  0.051452  88.827652
 601.0  0.051461  88.825706
 602.0  0.050950  88.930435
 603.0  0.051131  88.893364
 604.0  0.051201  88.878998
 605.0  0.051271  88.864746
 606.0  0.051444  88.829170
 607.0  0.051594  88.798599
 608.0  0.051665  88.784096
 609.0  0.051727  88.771469
 610.0  0.051799  88.756630
 611.0  0.051994  88.716782
 612.0  0.052100  88.695236
 613.0  0.052203  88.674103
 614.0  0.052241  88.666290
 615.0  0.052392  88.635490
 616.0  0.052491  88.615318
 617.0  0.052670  88.578888
 618.0  0.052757  88.561096
 619.0  0.052942  88.523323
 620.0  0.053020  88.507530
 621.0  0.053113  88.488586
 622.0  0.053211  88.468475
 623.0  0.053304  88.449684
 624.0  0.053570  88.395485
 625.0  0.053576  88.394203
 626.0  0.053603  88.388840
 627.0  0.053702  88.368675
 628.0  0.053809  88.346779
 629.0  0.053893  88.329704
 630.0  0.054043  88.299210
 631.0  0.054180  88.271370
 632.0  0.054233  88.260635
 633.0  0.054403  88.226044
 634.0  0.054536  88.198997
 635.0  0.054575  88.191231
 636.0  0.054801  88.145172
 637.0  0.054824  88.140503
 638.0  0.055021  88.100662
 639.0  0.054987  88.107437
 640.0  0.055127  88.079124
 641.0  0.055128  88.078979
 642.0  0.055399  88.023941
 643.0  0.055483  88.006935
 644.0  0.055562  87.991043
 645.0  0.055700  87.963051
 646.0  0.055810  87.940742
 647.0  0.055898  87.922859
 648.0  0.055945  87.913422
 649.0  0.056061  87.889999
 650.0  0.056199  87.861923
 651.0  0.056288  87.844002
 652.0  0.056361  87.829201
 653.0  0.056630  87.774902
 654.0  0.056703  87.760178
 655.0  0.056802  87.740112
 656.0  0.056826  87.735153
 657.0  0.057000  87.700172
 658.0  0.057084  87.683105
 659.0  0.057240  87.651558
 660.0  0.057403  87.618744
 661.0  0.057478  87.603523
 662.0  0.057485  87.602249
 663.0  0.057725  87.553856
 664.0  0.057772  87.544243
 665.0  0.057858  87.527069
 666.0  0.058071  87.484116
 667.0  0.058073  87.483734
 668.0  0.058222  87.453720
 669.0  0.058384  87.421104
 670.0  0.058537  87.390274
 671.0  0.058633  87.371040
 672.0  0.058789  87.339462
 673.0  0.058875  87.322174
 674.0  0.058993  87.298500
 675.0  0.059121  87.272720
 676.0  0.059265  87.243790
 677.0  0.059394  87.217903
 678.0  0.059422  87.212418
 679.0  0.059660  87.164650
 680.0  0.059791  87.138382
 681.0  0.059890  87.118347
 682.0  0.060069  87.082527
 683.0  0.060233  87.049622
 684.0  0.060311  87.033897
 685.0  0.060431  87.009895
 686.0  0.060538  86.988495
 687.0  0.060714  86.953217
 688.0  0.060783  86.939560
 689.0  0.060889  86.918205
 690.0  0.060993  86.897408
 691.0  0.061178  86.860489
 692.0  0.061235  86.848976
 693.0  0.061451  86.805931
 694.0  0.061547  86.786751
 695.0  0.061659  86.764290
 696.0  0.061829  86.730408
 697.0  0.061910  86.714050
 698.0  0.062076  86.681000
 699.0  0.062153  86.665726
 700.0  0.062288  86.638634
 701.0  0.062434  86.609505
 702.0  0.062459  86.604660
 703.0  0.062599  86.576660
 704.0  0.062729  86.550713
 705.0  0.062903  86.516060
 706.0  0.063018  86.493187
 707.0  0.063215  86.453880
 708.0  0.063258  86.445503
 709.0  0.063450  86.407265
 710.0  0.063606  86.376274
 711.0  0.063671  86.363235
 712.0  0.063844  86.328819
 713.0  0.063903  86.317039
 714.0  0.064112  86.275681
