 WL        Abs       T%
 190.0  2.414381   0.385141
 191.0  3.651317   0.022319
 192.0  2.649470   0.224145
 193.0  3.316222   0.048281
 194.0  2.837738   0.145299
 195.0  3.231823   0.058638
 196.0  2.945117   0.113471
 197.0  3.203200   0.062632
 198.0  3.463520   0.034394
 199.0  3.089888   0.081304
 200.0  3.488535   0.032469
 201.0  2.901016   0.125598
 202.0  3.608392   0.024638
 203.0  3.396946   0.040092
 204.0  3.265549   0.054256
 205.0  3.989939   0.010234
 206.0  3.364280   0.043224
 207.0  3.496732   0.031862
 208.0  3.758742   0.017428
 209.0  3.267425   0.054023
 210.0  3.802620   0.015754
 211.0  3.647301   0.022527
 212.0  3.488786   0.032450
 213.0  4.159161   0.006932
 214.0  3.521792   0.030075
 215.0  3.489410   0.032403
 216.0  4.024103   0.009460
 217.0  3.470731   0.033827
 218.0  3.743993   0.018030
 219.0  3.832164   0.014718
 220.0  3.693790   0.020240
 221.0  3.943816   0.011381
 222.0  3.706949   0.019636
 223.0  3.515260   0.030531
 224.0  4.259474   0.005502
 225.0  3.608918   0.024608
 226.0  3.661659   0.021794
 227.0  4.264901   0.005434
 228.0  3.525021   0.029852
 229.0  3.788145   0.016288
 230.0  3.866842   0.013588
 231.0  3.564548   0.027255
 232.0  3.863561   0.013691
 233.0  3.656386   0.022060
 234.0  3.476336   0.033394
 235.0  4.074049   0.008432
 236.0  3.642835   0.022760
 237.0  3.695232   0.020173
 238.0  3.756585   0.017515
 239.0  3.449967   0.035484
 240.0  3.922336   0.011958
 241.0  3.742228   0.018104
 242.0  3.562861   0.027361
 243.0  4.037852   0.009165
 244.0  3.559308   0.027586
 245.0  3.559082   0.027601
 246.0  3.912235   0.012240
 247.0  3.401560   0.039668
 248.0  3.739110   0.018234
 249.0  3.741007   0.018155
 250.0  3.441315   0.036198
 251.0  4.220892   0.006013
 252.0  3.568293   0.027021
 253.0  3.568254   0.027024
 254.0  3.919732   0.012030
 255.0  3.565940   0.027168
 256.0  3.614515   0.024293
 257.0  3.815525   0.015292
 258.0  3.510317   0.030880
 259.0  3.806574   0.015611
 260.0  3.721797   0.018976
 261.0  3.493486   0.032101
 262.0  4.009508   0.009783
 263.0  3.524742   0.029872
 264.0  3.567923   0.027044
 265.0  3.861116   0.013768
 266.0  3.341267   0.045576
 267.0  3.602339   0.024984
 268.0  3.740789   0.018164
 269.0  3.390003   0.040738
 270.0  3.724964   0.018838
 271.0  3.571726   0.026809
 272.0  3.455741   0.035015
 273.0  4.103530   0.007879
 274.0  3.399743   0.039834
 275.0  3.441643   0.036171
 276.0  3.915875   0.012137
 277.0  3.311295   0.048832
 278.0  3.689682   0.020432
 279.0  3.784938   0.016408
 280.0  3.344089   0.045281
 281.0  3.907214   0.012382
 282.0  3.429160   0.037225
 283.0  3.479288   0.033167
 284.0  4.080536   0.008307
 285.0  3.338964   0.045818
 286.0  3.476107   0.033411
 287.0  3.776247   0.016740
 288.0  3.377543   0.041923
 289.0  3.775264   0.016778
 290.0  3.532099   0.029370
 291.0  3.376960   0.041980
 292.0  3.775064   0.016786
 293.0  3.422681   0.037785
 294.0  3.473487   0.033613
 295.0  3.898579   0.012631
 296.0  3.420194   0.038002
 297.0  3.674053   0.021181
 298.0  3.768583   0.017038
 299.0  3.288622   0.051449
 300.0  3.587056   0.025879
 301.0  3.517007   0.030408
 302.0  3.317303   0.048161
 303.0  3.878196   0.013237
 304.0  3.237234   0.057912
 305.0  3.392931   0.040464
 306.0  3.498094   0.031762
 307.0  3.083443   0.082520
 308.0  3.334474   0.046294
 309.0  3.099193   0.079581
 310.0  2.981819   0.104275
 311.0  3.088845   0.081500
 312.0  2.882756   0.130992
 313.0  3.054060   0.088296
 314.0  2.691813   0.203323
 315.0  2.645621   0.226141
 316.0  2.590050   0.257010
 317.0  2.467049   0.341155
 318.0  2.435934   0.366494
 319.0  2.358573   0.437952
 320.0  2.271396   0.535309
 321.0  2.251193   0.560799
 322.0  2.182073   0.657548
 323.0  2.127728   0.745199
 324.0  2.093434   0.806429
 325.0  2.031905   0.929169
 326.0  2.008626   0.980334
 327.0  1.974665   1.060071
 328.0  1.930107   1.174609
 329.0  1.911258   1.226709
 330.0  1.870570   1.347192
 331.0  1.833106   1.468569
 332.0  1.822603   1.504517
 333.0  1.782280   1.650896
 334.0  1.762349   1.728428
 335.0  1.749763   1.779250
 336.0  1.720823   1.901853
 337.0  1.710134   1.949242
 338.0  1.699328   1.998352
 339.0  1.671042   2.132839
 340.0  1.663779   2.168809
 341.0  1.660379   2.185852
 342.0  1.651320   2.231926
 343.0  1.630936   2.339181
 344.0  1.634028   2.322587
 345.0  1.624167   2.375929
 346.0  1.607020   2.471613
 347.0  1.610822   2.450069
 348.0  1.596024   2.534989
 349.0  1.591436   2.561908
 350.0  1.592571   2.555224
 351.0  1.577307   2.646631
 352.0  1.579369   2.634093
 353.0  1.578158   2.641448
 354.0  1.565957   2.716709
 355.0  1.569272   2.696050
 356.0  1.563435   2.732529
 357.0  1.555347   2.783894
 358.0  1.563629   2.731310
 359.0  1.554532   2.789123
 360.0  1.551603   2.807997
 361.0  1.557152   2.772350
 362.0  1.547772   2.832882
 363.0  1.548717   2.826723
 364.0  1.548356   2.829075
 365.0  1.540588   2.880131
 366.0  1.547792   2.832748
 367.0  1.541236   2.875833
 368.0  1.538916   2.891237
 369.0  1.546216   2.843049
 370.0  1.519248   3.025186
 371.0  1.554826   2.787239
 372.0  1.557329   2.771223
 373.0  1.552155   2.804432
 374.0  1.560216   2.752857
 375.0  1.558717   2.762376
 376.0  1.558049   2.766628
 377.0  1.563265   2.733600
 378.0  1.561704   2.743442
 379.0  1.564228   2.727546
 380.0  1.567355   2.707978
 381.0  1.561238   2.746391
 382.0  1.566495   2.713345
 383.0  1.563229   2.733829
 384.0  1.559993   2.754276
 385.0  1.562231   2.740116
 386.0  1.559000   2.760577
 387.0  1.558814   2.761760
 388.0  1.559944   2.754585
 389.0  1.554709   2.787991
 390.0  1.559118   2.759826
 391.0  1.554859   2.787026
 392.0  1.556172   2.778611
 393.0  1.555084   2.785580
 394.0  1.551708   2.807317
 395.0  1.555987   2.779797
 396.0  1.553883   2.793296
 397.0  1.554163   2.791496
 398.0  1.554181   2.791384
 399.0  1.552682   2.801033
 400.0  1.553293   2.797096
 401.0  1.554121   2.791764
 402.0  1.551837   2.806485
 403.0  1.553820   2.793700
 404.0  1.554967   2.786333
 405.0  1.552506   2.802167
 406.0  1.556363   2.777394
 407.0  1.555278   2.784339
 408.0  1.555155   2.785127
 409.0  1.556880   2.774084
 410.0  1.554859   2.787028
 411.0  1.555400   2.783558
 412.0  1.558094   2.766340
 413.0  1.555732   2.781428
 414.0  1.558989   2.760646
 415.0  1.557405   2.770738
 416.0  1.557144   2.772399
 417.0  1.558474   2.763921
 418.0  1.558956   2.760860
 419.0  1.558376   2.764549
 420.0  1.560770   2.749347
 421.0  1.559560   2.757022
 422.0  1.560438   2.751453
 423.0  1.561053   2.747558
 424.0  1.559411   2.757964
 425.0  1.562533   2.738209
 426.0  1.560580   2.750553
 427.0  1.559591   2.756823
 428.0  1.562121   2.740808
 429.0  1.560477   2.751205
 430.0  1.562104   2.740919
 431.0  1.562120   2.740814
 432.0  1.561160   2.746880
 433.0  1.564185   2.727818
 434.0  1.563992   2.729029
 435.0  1.563376   2.732904
 436.0  1.565187   2.721532
 437.0  1.562712   2.737083
 438.0  1.563589   2.731561
 439.0  1.565434   2.719980
 440.0  1.562752   2.736833
 441.0  1.565406   2.720157
 442.0  1.566210   2.715128
 443.0  1.562762   2.736768
 444.0  1.566530   2.713125
 445.0  1.564351   2.726774
 446.0  1.563752   2.730534
 447.0  1.567603   2.706431
 448.0  1.564588   2.725285
 449.0  1.566173   2.715360
 450.0  1.566300   2.714562
 451.0  1.558897   2.761232
 452.0  1.557248   2.771739
 453.0  1.556476   2.776665
 454.0  1.559679   2.756267
 455.0  1.557126   2.772516
 456.0  1.558333   2.764821
