Sample Name, AL2
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 3.0756, 0.08
191.0, 2.9031, 0.12
192.0, 3.2515, 0.06
193.0, 2.7034, 0.20
194.0, 3.3383, 0.05
195.0, 3.2566, 0.06
196.0, 3.3131, 0.05
197.0, 3.1130, 0.08
198.0, 3.1113, 0.08
199.0, 3.5670, 0.03
200.0, 3.2387, 0.06
201.0, 2.9010, 0.13
202.0, 3.3074, 0.05
203.0, 3.3390, 0.05
204.0, 3.7884, 0.02
205.0, 3.2910, 0.05
206.0, 3.4734, 0.03
207.0, 3.6429, 0.02
208.0, 3.4066, 0.04
209.0, 4.0803, 0.01
210.0, 3.6265, 0.02
211.0, 3.5224, 0.03
212.0, 3.7441, 0.02
213.0, 3.4188, 0.04
214.0, 3.6309, 0.02
215.0, 4.0123, 0.01
216.0, 3.5012, 0.03
217.0, 3.7340, 0.02
218.0, 3.9201, 0.01
219.0, 3.6860, 0.02
220.0, 3.8399, 0.01
221.0, 3.7008, 0.02
222.0, 3.5978, 0.03
223.0, 3.8577, 0.01
224.0, 3.6574, 0.02
225.0, 3.7181, 0.02
226.0, 3.9627, 0.01
227.0, 3.6117, 0.02
228.0, 3.9644, 0.01
229.0, 3.7212, 0.02
230.0, 3.6627, 0.02
231.0, 4.0874, 0.01
232.0, 3.6083, 0.02
233.0, 3.6052, 0.02
234.0, 4.0784, 0.01
235.0, 3.5969, 0.03
236.0, 3.7678, 0.02
237.0, 4.0632, 0.01
238.0, 3.4933, 0.03
239.0, 4.0520, 0.01
240.0, 3.6793, 0.02
241.0, 3.5661, 0.03
242.0, 3.9150, 0.01
243.0, 3.5150, 0.03
244.0, 3.5593, 0.03
245.0, 4.0362, 0.01
246.0, 3.5601, 0.03
247.0, 3.8165, 0.02
248.0, 3.9152, 0.01
249.0, 3.5192, 0.03
250.0, 4.0434, 0.01
251.0, 3.6768, 0.02
252.0, 3.6774, 0.02
253.0, 4.0454, 0.01
254.0, 3.5218, 0.03
255.0, 3.6171, 0.02
256.0, 3.9155, 0.01
257.0, 3.4731, 0.03
258.0, 3.8113, 0.02
259.0, 3.6604, 0.02
260.0, 3.5457, 0.03
261.0, 3.7945, 0.02
262.0, 3.5324, 0.03
263.0, 3.7008, 0.02
264.0, 4.1700, 0.01
265.0, 3.5089, 0.03
266.0, 3.6101, 0.02
267.0, 3.7485, 0.02
268.0, 3.4855, 0.03
269.0, 3.8293, 0.01
270.0, 3.4697, 0.03
271.0, 3.5717, 0.03
272.0, 3.9329, 0.01
273.0, 3.4503, 0.04
274.0, 3.5546, 0.03
275.0, 3.7938, 0.02
276.0, 3.3930, 0.04
277.0, 3.6915, 0.02
278.0, 3.6897, 0.02
279.0, 3.3078, 0.05
280.0, 3.6865, 0.02
281.0, 3.3843, 0.04
282.0, 3.5383, 0.03
283.0, 3.9053, 0.01
284.0, 3.5365, 0.03
285.0, 3.6022, 0.02
286.0, 3.9021, 0.01
287.0, 3.2991, 0.05
288.0, 3.6786, 0.02
289.0, 3.6784, 0.02
290.0, 3.3358, 0.05
291.0, 4.0759, 0.01
292.0, 3.4229, 0.04
293.0, 3.4738, 0.03
294.0, 4.0755, 0.01
295.0, 3.4215, 0.04
296.0, 3.4713, 0.03
297.0, 3.6741, 0.02
298.0, 3.2567, 0.06
299.0, 3.6688, 0.02
300.0, 3.4621, 0.03
301.0, 3.3207, 0.05
302.0, 3.7566, 0.02
303.0, 3.3139, 0.05
304.0, 3.3098, 0.05
305.0, 3.5690, 0.03
306.0, 3.1127, 0.08
307.0, 3.2248, 0.06
308.0, 3.1040, 0.08
309.0, 2.8672, 0.14
310.0, 2.8929, 0.13
311.0, 2.7172, 0.19
312.0, 2.5981, 0.25
313.0, 2.6759, 0.21
314.0, 2.4016, 0.40
315.0, 2.3545, 0.44
316.0, 2.2340, 0.58
317.0, 2.1594, 0.69
318.0, 2.0975, 0.80
319.0, 2.0005, 1.00
320.0, 1.9563, 1.11
321.0, 1.8974, 1.27
322.0, 1.8325, 1.47
323.0, 1.7921, 1.61
324.0, 1.7384, 1.83
325.0, 1.6927, 2.03
326.0, 1.6636, 2.17
327.0, 1.6195, 2.40
328.0, 1.5929, 2.55
329.0, 1.5611, 2.75
330.0, 1.5230, 3.00
331.0, 1.5011, 3.15
332.0, 1.4712, 3.38
333.0, 1.4418, 3.62
334.0, 1.4260, 3.75
335.0, 1.4018, 3.96
336.0, 1.3848, 4.12
337.0, 1.3719, 4.25
338.0, 1.3532, 4.43
339.0, 1.3428, 4.54
340.0, 1.3335, 4.64
341.0, 1.3253, 4.73
342.0, 1.3088, 4.91
343.0, 1.3029, 4.98
344.0, 1.2926, 5.10
345.0, 1.2816, 5.23
346.0, 1.2813, 5.23
347.0, 1.2695, 5.38
348.0, 1.2629, 5.46
349.0, 1.2620, 5.47
350.0, 1.2524, 5.59
351.0, 1.2498, 5.63
352.0, 1.2489, 5.64
353.0, 1.2400, 5.75
354.0, 1.2405, 5.75
355.0, 1.2354, 5.82
356.0, 1.2306, 5.88
357.0, 1.2319, 5.86
358.0, 1.2270, 5.93
359.0, 1.2236, 5.98
360.0, 1.2257, 5.95
361.0, 1.2209, 6.01
362.0, 1.2208, 6.01
363.0, 1.2220, 6.00
364.0, 1.2166, 6.07
365.0, 1.2198, 6.03
366.0, 1.2178, 6.06
367.0, 1.2149, 6.10
368.0, 1.2184, 6.05
369.0, 1.2141, 6.11
370.0, 1.2066, 6.21
371.0, 1.2198, 6.03
372.0, 1.2208, 6.01
373.0, 1.2187, 6.04
374.0, 1.2231, 5.98
375.0, 1.2229, 5.99
376.0, 1.2242, 5.97
377.0, 1.2284, 5.91
378.0, 1.2281, 5.91
379.0, 1.2287, 5.91
380.0, 1.2308, 5.88
381.0, 1.2298, 5.89
382.0, 1.2304, 5.88
383.0, 1.2298, 5.89
384.0, 1.2275, 5.92
385.0, 1.2281, 5.91
386.0, 1.2272, 5.93
387.0, 1.2254, 5.95
388.0, 1.2270, 5.93
389.0, 1.2243, 5.97
390.0, 1.2248, 5.96
391.0, 1.2237, 5.97
392.0, 1.2235, 5.98
393.0, 1.2245, 5.96
394.0, 1.2220, 6.00
395.0, 1.2242, 5.97
396.0, 1.2236, 5.98
397.0, 1.2225, 5.99
398.0, 1.2238, 5.97
399.0, 1.2237, 5.97
400.0, 1.2233, 5.98
401.0, 1.2246, 5.96
402.0, 1.2236, 5.98
403.0, 1.2245, 5.96
404.0, 1.2260, 5.94
405.0, 1.2251, 5.95
406.0, 1.2271, 5.93
407.0, 1.2265, 5.94
408.0, 1.2260, 5.94
409.0, 1.2283, 5.91
410.0, 1.2283, 5.91
411.0, 1.2291, 5.90
412.0, 1.2300, 5.89
413.0, 1.2293, 5.90
414.0, 1.2308, 5.88
415.0, 1.2311, 5.87
416.0, 1.2304, 5.88
417.0, 1.2325, 5.85
418.0, 1.2328, 5.85
419.0, 1.2321, 5.86
420.0, 1.2339, 5.84
421.0, 1.2326, 5.85
422.0, 1.2332, 5.85
423.0, 1.2350, 5.82
424.0, 1.2341, 5.83
425.0, 1.2356, 5.81
426.0, 1.2356, 5.81
427.0, 1.2349, 5.82
428.0, 1.2365, 5.80
429.0, 1.2364, 5.80
430.0, 1.2367, 5.80
431.0, 1.2381, 5.78
432.0, 1.2377, 5.78
433.0, 1.2381, 5.78
434.0, 1.2396, 5.76
435.0, 1.2389, 5.77
436.0, 1.2398, 5.76
437.0, 1.2401, 5.75
438.0, 1.2401, 5.75
439.0, 1.2407, 5.74
440.0, 1.2405, 5.75
441.0, 1.2414, 5.74
442.0, 1.2429, 5.72
443.0, 1.2412, 5.74
444.0, 1.2428, 5.72
445.0, 1.2431, 5.71
446.0, 1.2425, 5.72
447.0, 1.2439, 5.70
448.0, 1.2435, 5.71
449.0, 1.2438, 5.70
450.0, 1.2438, 5.70
451.0, 1.2401, 5.75
452.0, 1.2395, 5.76
453.0, 1.2407, 5.74
454.0, 1.2408, 5.74
455.0, 1.2392, 5.76
456.0, 1.2410, 5.74
457.0, 1.2408, 5.74
458.0, 1.2411, 5.74
459.0, 1.2425, 5.72
460.0, 1.2412, 5.74
461.0, 1.2416, 5.73
462.0, 1.2425, 5.72
463.0, 1.2415, 5.73
464.0, 1.2434, 5.71
465.0, 1.2433, 5.71
466.0, 1.2426, 5.72
467.0, 1.2442, 5.70
468.0, 1.2441, 5.70
469.0, 1.2441, 5.70
470.0, 1.2453, 5.68
471.0, 1.2449, 5.69
472.0, 1.2459, 5.68
473.0, 1.2457, 5.68
474.0, 1.2450, 5.69
475.0, 1.2459, 5.68
476.0, 1.2465, 5.67
477.0, 1.2459, 5.68
478.0, 1.2476, 5.65
479.0, 1.2472, 5.66
480.0, 1.2476, 5.66
481.0, 1.2484, 5.64
482.0, 1.2475, 5.66
483.0, 1.2488, 5.64
484.0, 1.2490, 5.64
485.0, 1.2487, 5.64
486.0, 1.2493, 5.63
487.0, 1.2501, 5.62
488.0, 1.2507, 5.61
489.0, 1.2511, 5.61
490.0, 1.2515, 5.60
491.0, 1.2528, 5.59
492.0, 1.2515, 5.60
493.0, 1.2525, 5.59
494.0, 1.2530, 5.58
495.0, 1.2518, 5.60
496.0, 1.2537, 5.58
497.0, 1.2541, 5.57
498.0, 1.2539, 5.57
499.0, 1.2547, 5.56
500.0, 1.2547, 5.56
501.0, 1.2537, 5.58
502.0, 1.2556, 5.55
503.0, 1.2550, 5.56
504.0, 1.2560, 5.55
505.0, 1.2557, 5.55
506.0, 1.2554, 5.55
507.0, 1.2571, 5.53
508.0, 1.2568, 5.54
509.0, 1.2569, 5.54
510.0, 1.2579, 5.52
511.0, 1.2575, 5.53
512.0, 1.2588, 5.51
513.0, 1.2592, 5.51
514.0, 1.2586, 5.51
515.0, 1.2588, 5.51
516.0, 1.2599, 5.50
517.0, 1.2601, 5.49
518.0, 1.2595, 5.50
519.0, 1.2606, 5.49
520.0, 1.2613, 5.48
521.0, 1.2614, 5.48
522.0, 1.2620, 5.47
523.0, 1.2625, 5.46
524.0, 1.2629, 5.46
525.0, 1.2625, 5.46
526.0, 1.2635, 5.45
527.0, 1.2640, 5.45
528.0, 1.2643, 5.44
529.0, 1.2650, 5.43
530.0, 1.2646, 5.44
531.0, 1.2655, 5.43
532.0, 1.2660, 5.42
533.0, 1.2655, 5.43
534.0, 1.2660, 5.42
535.0, 1.2680, 5.40
536.0, 1.2671, 5.41
537.0, 1.2678, 5.40
538.0, 1.2683, 5.39
539.0, 1.2677, 5.40
540.0, 1.2697, 5.37
541.0, 1.2693, 5.38
542.0, 1.2696, 5.38
543.0, 1.2707, 5.36
544.0, 1.2696, 5.38
545.0, 1.2711, 5.36
546.0, 1.2718, 5.35
547.0, 1.2718, 5.35
548.0, 1.2729, 5.33
549.0, 1.2734, 5.33
550.0, 1.2735, 5.33
551.0, 1.2745, 5.32
552.0, 1.2742, 5.32
553.0, 1.2750, 5.31
554.0, 1.2753, 5.30
555.0, 1.2751, 5.31
556.0, 1.2760, 5.30
557.0, 1.2763, 5.29
558.0, 1.2766, 5.29
559.0, 1.2795, 5.25
560.0, 1.2775, 5.28
561.0, 1.2776, 5.28
562.0, 1.2788, 5.26
563.0, 1.2788, 5.26
564.0, 1.2795, 5.25
565.0, 1.2804, 5.24
566.0, 1.2800, 5.25
567.0, 1.2800, 5.25
568.0, 1.2803, 5.24
569.0, 1.2799, 5.25
570.0, 1.2808, 5.24
571.0, 1.2810, 5.24
572.0, 1.2805, 5.24
573.0, 1.2822, 5.22
574.0, 1.2817, 5.23
575.0, 1.2824, 5.22
576.0, 1.2835, 5.21
577.0, 1.2829, 5.21
578.0, 1.2838, 5.20
579.0, 1.2848, 5.19
580.0, 1.2849, 5.19
581.0, 1.2858, 5.18
582.0, 1.2882, 5.15
583.0, 1.2871, 5.16
584.0, 1.2875, 5.16
585.0, 1.2876, 5.16
586.0, 1.2835, 5.21
587.0, 1.2852, 5.19
588.0, 1.2850, 5.19
589.0, 1.2847, 5.19
590.0, 1.2858, 5.18
591.0, 1.2868, 5.17
592.0, 1.2870, 5.16
593.0, 1.2876, 5.16
594.0, 1.2874, 5.16
595.0, 1.2881, 5.15
596.0, 1.2892, 5.14
597.0, 1.2899, 5.13
598.0, 1.2897, 5.13
599.0, 1.2906, 5.12
600.0, 1.2899, 5.13
601.0, 1.2917, 5.11
602.0, 1.2902, 5.13
603.0, 1.2910, 5.12
604.0, 1.2913, 5.11
605.0, 1.2918, 5.11
606.0, 1.2927, 5.10
607.0, 1.2928, 5.10
608.0, 1.2939, 5.08
609.0, 1.2942, 5.08
610.0, 1.2939, 5.08
611.0, 1.2946, 5.07
612.0, 1.2956, 5.06
613.0, 1.2957, 5.06
614.0, 1.2964, 5.05
615.0, 1.2969, 5.05
616.0, 1.2972, 5.04
617.0, 1.2979, 5.04
618.0, 1.2976, 5.04
619.0, 1.2982, 5.03
620.0, 1.2994, 5.02
621.0, 1.2993, 5.02
622.0, 1.3001, 5.01
623.0, 1.3003, 5.01
624.0, 1.3010, 5.00
625.0, 1.3012, 5.00
626.0, 1.3013, 5.00
627.0, 1.3019, 4.99
628.0, 1.3028, 4.98
629.0, 1.3030, 4.98
630.0, 1.3033, 4.97
631.0, 1.3043, 4.96
632.0, 1.3042, 4.96
633.0, 1.3048, 4.96
634.0, 1.3056, 4.95
635.0, 1.3052, 4.95
636.0, 1.3069, 4.93
637.0, 1.3066, 4.94
638.0, 1.3077, 4.92
639.0, 1.3077, 4.92
640.0, 1.3077, 4.92
641.0, 1.3085, 4.91
642.0, 1.3091, 4.91
643.0, 1.3089, 4.91
644.0, 1.3102, 4.90
645.0, 1.3104, 4.89
646.0, 1.3103, 4.89
647.0, 1.3115, 4.88
648.0, 1.3119, 4.88
649.0, 1.3120, 4.88
650.0, 1.3122, 4.87
651.0, 1.3128, 4.87
652.0, 1.3133, 4.86
653.0, 1.3142, 4.85
654.0, 1.3144, 4.85
655.0, 1.3151, 4.84
656.0, 1.3150, 4.84
657.0, 1.3158, 4.83
658.0, 1.3161, 4.83
659.0, 1.3163, 4.83
660.0, 1.3172, 4.82
661.0, 1.3177, 4.81
662.0, 1.3174, 4.82
663.0, 1.3187, 4.80
664.0, 1.3188, 4.80
665.0, 1.3192, 4.80
666.0, 1.3201, 4.79
667.0, 1.3198, 4.79
668.0, 1.3199, 4.79
669.0, 1.3211, 4.77
670.0, 1.3210, 4.78
671.0, 1.3221, 4.76
672.0, 1.3228, 4.76
673.0, 1.3227, 4.76
674.0, 1.3236, 4.75
675.0, 1.3238, 4.74
676.0, 1.3241, 4.74
677.0, 1.3248, 4.73
678.0, 1.3252, 4.73
679.0, 1.3255, 4.73
680.0, 1.3264, 4.72
681.0, 1.3268, 4.71
682.0, 1.3273, 4.71
683.0, 1.3277, 4.70
684.0, 1.3280, 4.70
685.0, 1.3292, 4.69
686.0, 1.3291, 4.69
687.0, 1.3294, 4.68
688.0, 1.3302, 4.68
689.0, 1.3300, 4.68
690.0, 1.3314, 4.66
691.0, 1.3315, 4.66
692.0, 1.3315, 4.66
693.0, 1.3326, 4.65
694.0, 1.3329, 4.65
695.0, 1.3329, 4.65
696.0, 1.3341, 4.63
697.0, 1.3344, 4.63
698.0, 1.3342, 4.63
699.0, 1.3353, 4.62
700.0, 1.3357, 4.62
701.0, 1.3357, 4.62
702.0, 1.3364, 4.61
703.0, 1.3368, 4.61
704.0, 1.3377, 4.59
705.0, 1.3380, 4.59
706.0, 1.3380, 4.59
707.0, 1.3390, 4.58
708.0, 1.3393, 4.58
709.0, 1.3395, 4.58
710.0, 1.3405, 4.57
711.0, 1.3405, 4.57
712.0, 1.3426, 4.54
713.0, 1.3417, 4.55
714.0, 1.3419, 4.55
715.0, 1.3424, 4.55
716.0, 1.3423, 4.55
717.0, 1.3435, 4.53
718.0, 1.3447, 4.52
719.0, 1.3448, 4.52
720.0, 1.3449, 4.52
721.0, 1.3455, 4.51
722.0, 1.3455, 4.51
723.0, 1.3465, 4.50
724.0, 1.3468, 4.50
725.0, 1.3472, 4.50
726.0, 1.3473, 4.49
727.0, 1.3482, 4.49
728.0, 1.3481, 4.49
729.0, 1.3496, 4.47
730.0, 1.3496, 4.47
731.0, 1.3495, 4.47
732.0, 1.3507, 4.46
733.0, 1.3505, 4.46
734.0, 1.3514, 4.45
735.0, 1.3526, 4.44
736.0, 1.3520, 4.45
737.0, 1.3528, 4.44
738.0, 1.3530, 4.44
739.0, 1.3537, 4.43
740.0, 1.3549, 4.42
741.0, 1.3543, 4.42
742.0, 1.3550, 4.42
743.0, 1.3555, 4.41
744.0, 1.3549, 4.42
745.0, 1.3569, 4.40
746.0, 1.3570, 4.40
747.0, 1.3568, 4.40
748.0, 1.3577, 4.39
749.0, 1.3576, 4.39
750.0, 1.3582, 4.38
751.0, 1.3595, 4.37
752.0, 1.3587, 4.38
753.0, 1.3599, 4.37
754.0, 1.3607, 4.36
755.0, 1.3604, 4.36
756.0, 1.3613, 4.35
757.0, 1.3615, 4.35
758.0, 1.3621, 4.34
759.0, 1.3628, 4.34
760.0, 1.3627, 4.34
761.0, 1.3631, 4.33
762.0, 1.3641, 4.32
763.0, 1.3639, 4.33
764.0, 1.3645, 4.32
765.0, 1.3657, 4.31
766.0, 1.3649, 4.32
767.0, 1.3668, 4.30
768.0, 1.3663, 4.30
769.0, 1.3663, 4.30
770.0, 1.3673, 4.29
771.0, 1.3671, 4.29
772.0, 1.3683, 4.28
773.0, 1.3681, 4.28
774.0, 1.3679, 4.29
775.0, 1.3695, 4.27
776.0, 1.3701, 4.27
777.0, 1.3692, 4.27
778.0, 1.3710, 4.26
779.0, 1.3705, 4.26
780.0, 1.3706, 4.26
781.0, 1.3716, 4.25
782.0, 1.3719, 4.25
783.0, 1.3731, 4.24
784.0, 1.3737, 4.23
785.0, 1.3729, 4.24
786.0, 1.3738, 4.23
787.0, 1.3731, 4.24
788.0, 1.3729, 4.24
789.0, 1.3753, 4.21
790.0, 1.3760, 4.21
791.0, 1.3738, 4.23
792.0, 1.3741, 4.23
793.0, 1.3751, 4.22
794.0, 1.3759, 4.21
795.0, 1.3748, 4.22
796.0, 1.3769, 4.20
797.0, 1.3768, 4.20
798.0, 1.3762, 4.21
799.0, 1.3775, 4.19
800.0, 1.3773, 4.19
801.0, 1.3783, 4.19
802.0, 1.3791, 4.18
803.0, 1.3786, 4.18
804.0, 1.3788, 4.18
805.0, 1.3797, 4.17
806.0, 1.3794, 4.17
807.0, 1.3807, 4.16
808.0, 1.3812, 4.16
809.0, 1.3808, 4.16
810.0, 1.3816, 4.15
811.0, 1.3814, 4.16
812.0, 1.3816, 4.15
813.0, 1.3835, 4.13
814.0, 1.3828, 4.14
815.0, 1.3836, 4.13
816.0, 1.3844, 4.13
817.0, 1.3830, 4.14
818.0, 1.3851, 4.12
819.0, 1.3853, 4.12
820.0, 1.3854, 4.12
821.0, 1.3865, 4.11
822.0, 1.3866, 4.11
823.0, 1.3862, 4.11
824.0, 1.3878, 4.09
825.0, 1.3867, 4.11
826.0, 1.3874, 4.10
827.0, 1.3879, 4.09
828.0, 1.3875, 4.10
829.0, 1.3896, 4.08
830.0, 1.3883, 4.09
831.0, 1.3889, 4.08
832.0, 1.3903, 4.07
833.0, 1.3902, 4.07
834.0, 1.3909, 4.07
835.0, 1.3921, 4.05
836.0, 1.3905, 4.07
837.0, 1.3925, 4.05
838.0, 1.3925, 4.05
839.0, 1.3921, 4.05
840.0, 1.3939, 4.04
841.0, 1.3929, 4.05
842.0, 1.3930, 4.05
843.0, 1.3952, 4.03
844.0, 1.3943, 4.03
845.0, 1.3947, 4.03
846.0, 1.3953, 4.02
847.0, 1.3953, 4.02
848.0, 1.3969, 4.01
849.0, 1.3975, 4.00
