Sample Name, 35.65
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 3.4529, 0.04
191.0, 3.0262, 0.09
192.0, 3.1629, 0.07
193.0, 2.7705, 0.17
194.0, 3.2705, 0.05
195.0, 3.0883, 0.08
196.0, 3.4887, 0.03
197.0, 3.1707, 0.07
198.0, 3.0046, 0.10
199.0, 3.4576, 0.03
200.0, 2.9955, 0.10
201.0, 2.8778, 0.13
202.0, 3.0645, 0.09
203.0, 3.2005, 0.06
204.0, 3.3625, 0.04
205.0, 3.1149, 0.08
206.0, 3.5403, 0.03
207.0, 3.3419, 0.05
208.0, 3.1847, 0.07
209.0, 3.4270, 0.04
210.0, 3.2007, 0.06
211.0, 3.2491, 0.06
212.0, 3.3638, 0.04
213.0, 3.1178, 0.08
214.0, 3.2997, 0.05
215.0, 3.1884, 0.06
216.0, 3.1032, 0.08
217.0, 3.1503, 0.07
218.0, 3.0172, 0.10
219.0, 2.9185, 0.12
220.0, 2.9479, 0.11
221.0, 2.8384, 0.15
222.0, 2.8195, 0.15
223.0, 2.7643, 0.17
224.0, 2.6797, 0.21
225.0, 2.6655, 0.22
226.0, 2.6011, 0.25
227.0, 2.5447, 0.29
228.0, 2.5211, 0.30
229.0, 2.4661, 0.34
230.0, 2.4453, 0.36
231.0, 2.4124, 0.39
232.0, 2.3695, 0.43
233.0, 2.3367, 0.46
234.0, 2.3027, 0.50
235.0, 2.2520, 0.56
236.0, 2.2403, 0.58
237.0, 2.1979, 0.63
238.0, 2.1692, 0.68
239.0, 2.1564, 0.70
240.0, 2.1247, 0.75
241.0, 2.1102, 0.78
242.0, 2.0924, 0.81
243.0, 2.0645, 0.86
244.0, 2.0539, 0.88
245.0, 2.0360, 0.92
246.0, 2.0114, 0.97
247.0, 2.0035, 0.99
248.0, 1.9844, 1.04
249.0, 1.9723, 1.07
250.0, 1.9617, 1.09
251.0, 1.9394, 1.15
252.0, 1.9333, 1.17
253.0, 1.9202, 1.20
254.0, 1.9024, 1.25
255.0, 1.9009, 1.26
256.0, 1.8851, 1.30
257.0, 1.8717, 1.34
258.0, 1.8678, 1.36
259.0, 1.8491, 1.42
260.0, 1.8444, 1.43
261.0, 1.8363, 1.46
262.0, 1.8197, 1.51
263.0, 1.8178, 1.52
264.0, 1.8052, 1.57
265.0, 1.7943, 1.61
266.0, 1.7913, 1.62
267.0, 1.7806, 1.66
268.0, 1.7729, 1.69
269.0, 1.7686, 1.70
270.0, 1.7570, 1.75
271.0, 1.7566, 1.75
272.0, 1.7470, 1.79
273.0, 1.7348, 1.84
274.0, 1.7303, 1.86
275.0, 1.7189, 1.91
276.0, 1.7123, 1.94
277.0, 1.7145, 1.93
278.0, 1.7024, 1.98
279.0, 1.6992, 2.00
280.0, 1.6959, 2.01
281.0, 1.6823, 2.08
282.0, 1.6867, 2.06
283.0, 1.6753, 2.11
284.0, 1.6684, 2.15
285.0, 1.6691, 2.14
286.0, 1.6577, 2.20
287.0, 1.6552, 2.21
288.0, 1.6545, 2.22
289.0, 1.6427, 2.28
290.0, 1.6452, 2.26
291.0, 1.6387, 2.30
292.0, 1.6309, 2.34
293.0, 1.6315, 2.34
294.0, 1.6241, 2.38
295.0, 1.6181, 2.41
296.0, 1.6168, 2.42
297.0, 1.6092, 2.46
298.0, 1.6078, 2.47
299.0, 1.6026, 2.50
300.0, 1.5940, 2.55
301.0, 1.5954, 2.54
302.0, 1.5896, 2.57
303.0, 1.5826, 2.61
304.0, 1.5852, 2.60
305.0, 1.5789, 2.64
306.0, 1.5763, 2.65
307.0, 1.5747, 2.66
308.0, 1.5653, 2.72
309.0, 1.5666, 2.71
310.0, 1.5619, 2.74
311.0, 1.5546, 2.79
312.0, 1.5578, 2.77
313.0, 1.5577, 2.77
314.0, 1.5483, 2.83
315.0, 1.5434, 2.86
316.0, 1.5385, 2.89
317.0, 1.5414, 2.87
318.0, 1.5333, 2.93
319.0, 1.5335, 2.93
320.0, 1.5306, 2.95
321.0, 1.5239, 2.99
322.0, 1.5264, 2.98
323.0, 1.5222, 3.00
324.0, 1.5168, 3.04
325.0, 1.5182, 3.03
326.0, 1.5114, 3.08
327.0, 1.5098, 3.09
328.0, 1.5112, 3.08
329.0, 1.5016, 3.15
330.0, 1.5065, 3.12
331.0, 1.5008, 3.16
332.0, 1.4965, 3.19
333.0, 1.5000, 3.16
334.0, 1.4928, 3.22
335.0, 1.4918, 3.22
336.0, 1.4930, 3.21
337.0, 1.4838, 3.28
338.0, 1.4885, 3.25
339.0, 1.4855, 3.27
340.0, 1.4471, 3.57
341.0, 1.4396, 3.63
342.0, 1.4450, 3.59
343.0, 1.4395, 3.63
344.0, 1.4370, 3.66
345.0, 1.4406, 3.63
346.0, 1.4344, 3.68
347.0, 1.4383, 3.65
348.0, 1.4408, 3.62
349.0, 1.4328, 3.69
350.0, 1.4364, 3.66
351.0, 1.4346, 3.68
352.0, 1.4305, 3.71
353.0, 1.4372, 3.65
354.0, 1.4310, 3.71
355.0, 1.4308, 3.71
356.0, 1.4344, 3.68
357.0, 1.4273, 3.74
358.0, 1.4300, 3.72
359.0, 1.4276, 3.74
360.0, 1.4215, 3.79
361.0, 1.4272, 3.74
362.0, 1.4225, 3.78
363.0, 1.4213, 3.79
364.0, 1.4257, 3.75
365.0, 1.4181, 3.82
366.0, 1.4202, 3.80
367.0, 1.4218, 3.79
368.0, 1.4138, 3.86
369.0, 1.4186, 3.81
370.0, 1.4008, 3.97
371.0, 1.4102, 3.89
372.0, 1.4132, 3.86
373.0, 1.4101, 3.89
374.0, 1.4083, 3.91
375.0, 1.4121, 3.87
376.0, 1.4071, 3.92
377.0, 1.4082, 3.91
378.0, 1.4086, 3.90
379.0, 1.4042, 3.94
380.0, 1.4053, 3.93
381.0, 1.4035, 3.95
382.0, 1.4008, 3.97
383.0, 1.4034, 3.95
384.0, 1.3997, 3.98
385.0, 1.3987, 3.99
386.0, 1.4001, 3.98
387.0, 1.3957, 4.02
388.0, 1.3973, 4.01
389.0, 1.3963, 4.02
390.0, 1.3959, 4.02
391.0, 1.3949, 4.03
392.0, 1.3910, 4.06
393.0, 1.3935, 4.04
394.0, 1.3892, 4.08
395.0, 1.3881, 4.09
396.0, 1.3886, 4.09
397.0, 1.3858, 4.11
398.0, 1.3856, 4.11
399.0, 1.3865, 4.11
400.0, 1.3835, 4.13
401.0, 1.3848, 4.12
402.0, 1.3837, 4.13
403.0, 1.3803, 4.17
404.0, 1.3806, 4.16
405.0, 1.3786, 4.18
406.0, 1.3750, 4.22
407.0, 1.3738, 4.23
408.0, 1.3696, 4.27
409.0, 1.3688, 4.28
410.0, 1.3643, 4.32
