 WL        Abs       T%
 190.0  3.306747   0.049346
 191.0  4.348461   0.004483
 192.0  2.842528   0.143705
 193.0  3.200577   0.063012
 194.0  3.375281   0.042142
 195.0  3.282169   0.052219
 196.0  3.567920   0.027045
 197.0  3.237649   0.057856
 198.0  4.065300   0.008604
 199.0  3.457579   0.034868
 200.0  3.328740   0.046909
 201.0  3.190140   0.064545
 202.0  3.511669   0.030784
 203.0  4.241895   0.005729
 204.0  3.420498   0.037975
 205.0  3.592021   0.025585
 206.0  3.716379   0.019214
 207.0  3.387667   0.040957
 208.0  3.883718   0.013070
 209.0  3.682289   0.020783
 210.0  3.626648   0.023624
 211.0  4.124146   0.007514
 212.0  3.664814   0.021636
 213.0  3.858131   0.013863
 214.0  4.475773   0.003344
 215.0  3.794403   0.016055
 216.0  4.200139   0.006308
 217.0  4.034883   0.009228
 218.0  3.744149   0.018024
 219.0  4.531237   0.002943
 220.0  3.693853   0.020237
 221.0  3.846992   0.014224
 222.0  4.250884   0.005612
 223.0  3.653574   0.022204
 224.0  3.958493   0.011003
 225.0  4.086004   0.008203
 226.0  3.719769   0.019065
 227.0  4.088774   0.008151
 228.0  3.964319   0.010856
 229.0  3.663360   0.021709
 230.0  4.264794   0.005435
 231.0  3.786515   0.016349
 232.0  3.784451   0.016427
 233.0  4.082247   0.008275
 234.0  3.777451   0.016694
 235.0  4.073743   0.008438
 236.0  4.068520   0.008540
 237.0  3.695256   0.020172
 238.0  4.057527   0.008759
 239.0  3.830319   0.014780
 240.0  3.825452   0.014947
 241.0  4.043061   0.009056
 242.0  3.562993   0.027353
 243.0  3.815817   0.015282
 244.0  4.212255   0.006134
 245.0  3.558909   0.027612
 246.0  4.212840   0.006126
 247.0  4.038263   0.009157
 248.0  3.738979   0.018240
 249.0  4.518804   0.003028
 250.0  3.675281   0.021121
 251.0  3.743327   0.018058
 252.0  4.221114   0.006010
 253.0  3.744137   0.018025
 254.0  4.044396   0.009028
 255.0  4.042878   0.009060
 256.0  3.614489   0.024295
 257.0  4.213132   0.006122
 258.0  3.665165   0.021619
 259.0  3.727094   0.018746
 260.0  4.022415   0.009497
 261.0  3.715237   0.019265
 262.0  3.708024   0.019587
 263.0  4.177652   0.006643
 264.0  3.692656   0.020293
 265.0  3.985562   0.010338
 266.0  3.852907   0.014031
 267.0  3.668929   0.021432
 268.0  4.439396   0.003636
