Sample Name, 45.55.
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
395.0, 4.2478, 0.01
396.0, 3.9557, 0.01
397.0, 4.2655, 0.01
398.0, 3.6718, 0.02
399.0, 3.9809, 0.01
400.0, 4.2899, 0.01
401.0, 3.8205, 0.02
402.0, 4.3054, 0.00
403.0, 4.0117, 0.01
404.0, 3.8425, 0.01
405.0, 3.8489, 0.01
406.0, 3.7301, 0.02
407.0, 3.6390, 0.02
408.0, 4.0426, 0.01
409.0, 3.5707, 0.03
410.0, 3.7517, 0.02
411.0, 3.6594, 0.02
412.0, 3.3630, 0.04
413.0, 3.3266, 0.05
414.0, 3.1966, 0.06
415.0, 3.1463, 0.07
416.0, 3.1018, 0.08
417.0, 2.9688, 0.11
418.0, 2.8954, 0.13
419.0, 2.8982, 0.13
420.0, 2.8006, 0.16
421.0, 2.7603, 0.17
422.0, 2.7051, 0.20
423.0, 2.6331, 0.23
424.0, 2.6120, 0.24
425.0, 2.5467, 0.28
426.0, 2.4954, 0.32
427.0, 2.4694, 0.34
428.0, 2.4164, 0.38
429.0, 2.3772, 0.42
430.0, 2.3522, 0.44
431.0, 2.3027, 0.50
432.0, 2.2741, 0.53
433.0, 2.2465, 0.57
434.0, 2.2028, 0.63
435.0, 2.1731, 0.67
436.0, 2.1446, 0.72
437.0, 2.1124, 0.77
438.0, 2.0950, 0.80
439.0, 2.0601, 0.87
440.0, 2.0390, 0.91
441.0, 2.0195, 0.96
442.0, 1.9942, 1.01
443.0, 1.9761, 1.06
444.0, 1.9559, 1.11
445.0, 1.9321, 1.17
446.0, 1.9217, 1.20
447.0, 1.9010, 1.26
448.0, 1.8851, 1.30
449.0, 1.8740, 1.34
450.0, 1.8523, 1.41
451.0, 1.8331, 1.47
452.0, 1.8187, 1.52
453.0, 1.8051, 1.57
454.0, 1.7871, 1.63
455.0, 1.7804, 1.66
456.0, 1.7673, 1.71
457.0, 1.7516, 1.77
458.0, 1.7477, 1.79
459.0, 1.7340, 1.84
460.0, 1.7249, 1.88
461.0, 1.7181, 1.91
462.0, 1.7069, 1.96
463.0, 1.7005, 1.99
464.0, 1.6924, 2.03
465.0, 1.6819, 2.08
466.0, 1.6786, 2.10
467.0, 1.6693, 2.14
