 WL        Abs       T%
 190.0  3.110452   0.077544
 191.0  3.026242   0.094137
 192.0  3.903226   0.012496
 193.0  2.972098   0.106636
 194.0  3.240583   0.057467
 195.0  3.708138   0.019582
 196.0  3.488739   0.032453
 197.0  3.617860   0.024107
 198.0  3.220202   0.060228
 199.0  4.110792   0.007748
 200.0  3.363503   0.043301
 201.0  2.924826   0.118898
 202.0  3.365541   0.043098
 203.0  3.396797   0.040105
 204.0  4.265596   0.005425
 205.0  3.512840   0.030702
 206.0  3.619469   0.024018
 207.0  3.864788   0.013652
 208.0  3.406597   0.039211
 209.0  3.904138   0.012470
 210.0  3.802740   0.015749
 211.0  3.647024   0.022541
 212.0  4.141936   0.007212
 213.0  3.615093   0.024261
 214.0  3.776803   0.016718
 215.0  4.489467   0.003240
 216.0  3.598079   0.025230
 217.0  4.034883   0.009228
 218.0  3.823331   0.015020
 219.0  3.628146   0.023543
 220.0  4.538951   0.002891
 221.0  3.700864   0.019913
 222.0  3.773762   0.016836
 223.0  4.255634   0.005551
 224.0  3.657463   0.022006
 225.0  3.961065   0.010938
 226.0  3.962808   0.010894
 227.0  3.662805   0.021737
 228.0  4.265349   0.005428
 229.0  3.721351   0.018995
 230.0  3.787673   0.016305
 231.0  4.564666   0.002725
 232.0  3.659512   0.021902
 233.0  3.781217   0.016549
 234.0  4.254572   0.005565
 235.0  3.550864   0.028128
 236.0  4.068520   0.008540
 237.0  3.938295   0.011527
 238.0  3.689550   0.020439
 239.0  4.228259   0.005912
 240.0  3.825452   0.014947
 241.0  3.617092   0.024149
 242.0  4.216206   0.006078
 243.0  3.736635   0.018339
 244.0  3.814315   0.015335
 245.0  4.212121   0.006136
 246.0  3.559628   0.027566
 247.0  4.038263   0.009157
 248.0  3.818160   0.015200
 249.0  3.615714   0.024226
 250.0  4.520379   0.003017
 251.0  3.618388   0.024078
 252.0  3.823174   0.015025
 253.0  4.221258   0.006008
 254.0  3.618427   0.024075
 255.0  3.917939   0.012080
 256.0  4.040458   0.009111
 257.0  3.669064   0.021426
 258.0  4.209234   0.006177
 259.0  3.727094   0.018746
 260.0  3.654438   0.022160
 261.0  4.192358   0.006422
 262.0  3.583085   0.026116
 263.0  3.633584   0.023250
 264.0  3.993686   0.010146
 265.0  3.508440   0.031014
 266.0  4.454967   0.003508
 267.0  3.845021   0.014288
 268.0  3.661245   0.021815
 269.0  4.431364   0.003704
 270.0  3.578459   0.026396
 271.0  3.814464   0.015330
 272.0  3.932626   0.011678
 273.0  3.449890   0.035490
 274.0  3.797510   0.015940
 275.0  3.918502   0.012064
 276.0  3.547511   0.028346
 277.0  3.913160   0.012213
 278.0  3.689203   0.020455
 279.0  3.608544   0.024630
 280.0  4.084147   0.008239
 281.0  3.538753   0.028923
 282.0  3.684127   0.020695
 283.0  4.081006   0.008298
 284.0  3.535927   0.029112
 285.0  4.079019   0.008336
 286.0  3.901586   0.012543
 287.0  3.678882   0.020947
 288.0  4.377142   0.004196
 289.0  3.598535   0.025204
 290.0  3.598681   0.025195
 291.0  4.376723   0.004200
 292.0  3.422517   0.037799
 293.0  3.677607   0.021008
 294.0  3.898982   0.012619
 295.0  3.597311   0.025275
 296.0  4.073187   0.008449
 297.0  3.770539   0.016961
 298.0  3.592288   0.025569
 299.0  4.367524   0.004290
 300.0  3.461761   0.034533
 301.0  3.583690   0.026080
 302.0  4.358259   0.004383
 303.0  3.509778   0.030919
 304.0  4.049838   0.008916
 305.0  3.647813   0.022500
 306.0  3.497660   0.031794
 307.0  4.338178   0.004590
 308.0  3.555779   0.027811
 309.0  3.484157   0.032798
 310.0  4.022820   0.009488
 311.0  3.415704   0.038397
 312.0  3.836598   0.014568
 313.0  4.309012   0.004909
 314.0  3.645608   0.022615
 315.0  3.816451   0.015260
 316.0  3.510433   0.030872
 317.0  4.106848   0.007819
 318.0  3.624340   0.023750
 319.0  3.493725   0.032083
 320.0  3.965590   0.010825
 321.0  3.358447   0.043808
 322.0  3.442637   0.036088
 323.0  3.851821   0.014066
 324.0  3.398808   0.039920
 325.0  3.936049   0.011586
 326.0  3.685806   0.020616
 327.0  3.409517   0.038948
 328.0  4.516417   0.003045
 329.0  3.395783   0.040199
 330.0  3.502564   0.031437
 331.0  3.796602   0.015973
 332.0  3.446382   0.035778
 333.0  3.634880   0.023180
 334.0  3.996118   0.010090
 335.0  3.387152   0.041006
 336.0  3.681452   0.020823
 337.0  3.607670   0.024679
 338.0  3.404212   0.039427
 339.0  3.740757   0.018165
 340.0  3.649870   0.022394
 341.0  3.113681   0.076970
 342.0  3.188601   0.064774
 343.0  4.277747   0.005275
 344.0  3.173679   0.067038
 345.0  3.520353   0.030175
 346.0  3.707953   0.019591
 347.0  3.321391   0.047710
 348.0  4.032458   0.009280
 349.0  3.346099   0.045071
 350.0  3.316199   0.048284
 351.0  4.068093   0.008549
 352.0  3.380844   0.041606
 353.0  3.490713   0.032306
 354.0  4.104521   0.007861
 355.0  3.373063   0.042358
 356.0  3.723094   0.018919
 357.0  3.582648   0.026143
 358.0  3.389907   0.040747
 359.0  3.831614   0.014736
 360.0  3.588864   0.025771
 361.0  3.318898   0.047985
 362.0  4.430269   0.003713
 363.0  3.249150   0.056344
 364.0  3.515609   0.030506
 365.0  3.631579   0.023357
 366.0  3.319210   0.047950
 367.0  3.783064   0.016479
 368.0  3.326615   0.047139
 369.0  3.171415   0.067388
 370.0  2.947474   0.112856
 371.0  3.764350   0.017205
 372.0  3.779284   0.016623
 373.0  3.492900   0.032144
 374.0  4.286232   0.005173
 375.0  3.522727   0.030010
 376.0  3.413006   0.038636
 377.0  3.729873   0.018626
 378.0  3.305742   0.049460
 379.0  3.459204   0.034737
