Sample Name, 55.45
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
190.0, 3.3067, 0.05
191.0, 4.3485, 0.00
192.0, 2.8425, 0.14
193.0, 3.2006, 0.06
194.0, 3.3753, 0.04
195.0, 3.2822, 0.05
196.0, 3.5679, 0.03
197.0, 3.2376, 0.06
198.0, 4.0653, 0.01
199.0, 3.4576, 0.03
200.0, 3.3287, 0.05
201.0, 3.1901, 0.06
202.0, 3.5117, 0.03
203.0, 4.2419, 0.01
204.0, 3.4205, 0.04
205.0, 3.5920, 0.03
206.0, 3.7164, 0.02
207.0, 3.3877, 0.04
208.0, 3.8837, 0.01
209.0, 3.6823, 0.02
210.0, 3.6266, 0.02
211.0, 4.1241, 0.01
212.0, 3.6648, 0.02
213.0, 3.8581, 0.01
214.0, 4.4758, 0.00
215.0, 3.7944, 0.02
216.0, 4.2001, 0.01
217.0, 4.0349, 0.01
218.0, 3.7441, 0.02
219.0, 4.5312, 0.00
220.0, 3.6939, 0.02
221.0, 3.8470, 0.01
222.0, 4.2509, 0.01
223.0, 3.6536, 0.02
224.0, 3.9585, 0.01
225.0, 4.0860, 0.01
226.0, 3.7198, 0.02
227.0, 4.0888, 0.01
228.0, 3.9643, 0.01
229.0, 3.6634, 0.02
230.0, 4.2648, 0.01
231.0, 3.7865, 0.02
232.0, 3.7845, 0.02
233.0, 4.0822, 0.01
234.0, 3.7775, 0.02
235.0, 4.0737, 0.01
236.0, 4.0685, 0.01
237.0, 3.6953, 0.02
238.0, 4.0575, 0.01
239.0, 3.8303, 0.01
240.0, 3.8255, 0.01
241.0, 4.0431, 0.01
242.0, 3.5630, 0.03
243.0, 3.8158, 0.02
244.0, 4.2123, 0.01
245.0, 3.5589, 0.03
246.0, 4.2128, 0.01
247.0, 4.0383, 0.01
248.0, 3.7390, 0.02
249.0, 4.5188, 0.00
250.0, 3.6753, 0.02
251.0, 3.7433, 0.02
252.0, 4.2211, 0.01
253.0, 3.7441, 0.02
254.0, 4.0444, 0.01
255.0, 4.0429, 0.01
256.0, 3.6145, 0.02
257.0, 4.2131, 0.01
258.0, 3.6652, 0.02
259.0, 3.7271, 0.02
260.0, 4.0224, 0.01
261.0, 3.7152, 0.02
262.0, 3.7080, 0.02
263.0, 4.1777, 0.01
264.0, 3.6927, 0.02
265.0, 3.9856, 0.01
266.0, 3.8529, 0.01
267.0, 3.6689, 0.02
268.0, 4.4394, 0.00
269.0, 3.5863, 0.03
270.0, 3.5785, 0.03
271.0, 3.8145, 0.02
272.0, 3.6316, 0.02
273.0, 3.8021, 0.02
274.0, 3.9224, 0.01
275.0, 3.6175, 0.02
276.0, 3.9155, 0.01
