Sample Name, AL1
Time, 2000/00/01 00:00:00
Operator, Windows User
Lamp, 255
Slit,0.0
Scan From, 1100.0nm
Scan To, 190.0nm
Scan Step, 1.0nm
Sample Filter, 5
memo, 
WL(nm), Abs, T%
395.0, 1.3878, 4.09
396.0, 1.3893, 4.08
397.0, 1.3888, 4.09
398.0, 1.3864, 4.11
399.0, 1.3885, 4.09
400.0, 1.3865, 4.11
401.0, 1.3874, 4.10
402.0, 1.3888, 4.08
403.0, 1.3868, 4.10
404.0, 1.3883, 4.09
405.0, 1.3886, 4.09
406.0, 1.3868, 4.10
407.0, 1.3885, 4.09
408.0, 1.3873, 4.10
409.0, 1.3868, 4.10
410.0, 1.3884, 4.09
411.0, 1.3875, 4.10
412.0, 1.3872, 4.10
413.0, 1.3886, 4.09
414.0, 1.3873, 4.10
415.0, 1.3890, 4.08
416.0, 1.3878, 4.09
417.0, 1.3858, 4.11
418.0, 1.3884, 4.09
419.0, 1.3876, 4.10
420.0, 1.3874, 4.10
421.0, 1.3885, 4.09
422.0, 1.3871, 4.10
423.0, 1.3879, 4.09
424.0, 1.3875, 4.10
425.0, 1.3860, 4.11
426.0, 1.3878, 4.09
427.0, 1.3868, 4.10
428.0, 1.3869, 4.10
429.0, 1.3886, 4.09
430.0, 1.3864, 4.11
431.0, 1.3864, 4.11
432.0, 1.3882, 4.09
433.0, 1.3858, 4.11
434.0, 1.3870, 4.10
435.0, 1.3871, 4.10
436.0, 1.3865, 4.11
437.0, 1.3881, 4.09
438.0, 1.3862, 4.11
439.0, 1.3860, 4.11
440.0, 1.3880, 4.09
441.0, 1.3870, 4.10
442.0, 1.3874, 4.10
443.0, 1.3883, 4.09
444.0, 1.3854, 4.12
445.0, 1.3870, 4.10
446.0, 1.3867, 4.11
447.0, 1.3852, 4.12
448.0, 1.3867, 4.10
449.0, 1.3856, 4.12
450.0, 1.3843, 4.13
451.0, 1.3838, 4.13
452.0, 1.3826, 4.14
453.0, 1.3841, 4.13
454.0, 1.3845, 4.13
455.0, 1.3824, 4.15
456.0, 1.3836, 4.13
457.0, 1.3835, 4.14
458.0, 1.3815, 4.15
459.0, 1.3829, 4.14
460.0, 1.3814, 4.16
461.0, 1.3814, 4.16
462.0, 1.3821, 4.15
463.0, 1.3807, 4.16
464.0, 1.3822, 4.15
465.0, 1.3826, 4.14
466.0, 1.3808, 4.16
467.0, 1.3832, 4.14
468.0, 1.3807, 4.16
469.0, 1.3810, 4.16
470.0, 1.3816, 4.15
471.0, 1.3815, 4.15
472.0, 1.3810, 4.16
473.0, 1.3825, 4.14
474.0, 1.3809, 4.16
475.0, 1.3824, 4.15
476.0, 1.3821, 4.15
477.0, 1.3815, 4.15
478.0, 1.3829, 4.14
479.0, 1.3809, 4.16
480.0, 1.3819, 4.15
481.0, 1.3822, 4.15
482.0, 1.3808, 4.16
483.0, 1.3817, 4.15
484.0, 1.3814, 4.16
485.0, 1.3805, 4.16
486.0, 1.3821, 4.15
487.0, 1.3828, 4.14
488.0, 1.3824, 4.15
489.0, 1.3831, 4.14
490.0, 1.3818, 4.15
491.0, 1.3825, 4.14
492.0, 1.3821, 4.15
493.0, 1.3816, 4.15
494.0, 1.3837, 4.13
495.0, 1.3821, 4.15
496.0, 1.3829, 4.14
497.0, 1.3822, 4.15
498.0, 1.3814, 4.16
499.0, 1.3825, 4.15
500.0, 1.3826, 4.14
501.0, 1.3826, 4.14
502.0, 1.3829, 4.14
503.0, 1.3821, 4.15
504.0, 1.3829, 4.14
505.0, 1.3832, 4.14
506.0, 1.3829, 4.14
507.0, 1.3836, 4.13
508.0, 1.3810, 4.16
509.0, 1.3833, 4.14
510.0, 1.3836, 4.13
511.0, 1.3839, 4.13
512.0, 1.3834, 4.14
513.0, 1.3832, 4.14
514.0, 1.3824, 4.15
515.0, 1.3836, 4.13
516.0, 1.3839, 4.13
517.0, 1.3821, 4.15
518.0, 1.3849, 4.12
519.0, 1.3841, 4.13
520.0, 1.3829, 4.14
521.0, 1.3844, 4.13
522.0, 1.3835, 4.13
523.0, 1.3836, 4.13
524.0, 1.3840, 4.13
525.0, 1.3839, 4.13
526.0, 1.3842, 4.13
527.0, 1.3842, 4.13
528.0, 1.3846, 4.13
529.0, 1.3844, 4.13
530.0, 1.3848, 4.12
531.0, 1.3841, 4.13
532.0, 1.3855, 4.12
533.0, 1.3846, 4.12
534.0, 1.3850, 4.12
535.0, 1.3861, 4.11
536.0, 1.3859, 4.11
537.0, 1.3856, 4.12
538.0, 1.3864, 4.11
539.0, 1.3858, 4.11
540.0, 1.3870, 4.10
541.0, 1.3875, 4.10
542.0, 1.3871, 4.10
543.0, 1.3873, 4.10
544.0, 1.3870, 4.10
545.0, 1.3887, 4.09
546.0, 1.3882, 4.09
547.0, 1.3880, 4.09
548.0, 1.3892, 4.08
549.0, 1.3893, 4.08
550.0, 1.3897, 4.08
551.0, 1.3901, 4.07
552.0, 1.3892, 4.08
553.0, 1.3898, 4.08
554.0, 1.3900, 4.07
555.0, 1.3889, 4.08
556.0, 1.3897, 4.08
557.0, 1.3894, 4.08
558.0, 1.3894, 4.08
559.0, 1.3898, 4.08
560.0, 1.3895, 4.08
561.0, 1.3897, 4.08
562.0, 1.3901, 4.07
563.0, 1.3895, 4.08
564.0, 1.3907, 4.07
565.0, 1.3906, 4.07
566.0, 1.3904, 4.07
567.0, 1.3904, 4.07
568.0, 1.3890, 4.08
569.0, 1.3876, 4.10
570.0, 1.3880, 4.09
571.0, 1.3875, 4.10
572.0, 1.3858, 4.11
573.0, 1.3864, 4.11
574.0, 1.3856, 4.11
575.0, 1.3859, 4.11
576.0, 1.3860, 4.11
577.0, 1.3863, 4.11
578.0, 1.3867, 4.10
579.0, 1.3863, 4.11
580.0, 1.3863, 4.11
581.0, 1.3877, 4.10
582.0, 1.3876, 4.10
583.0, 1.3884, 4.09
584.0, 1.3889, 4.08
585.0, 1.3895, 4.08
586.0, 1.3747, 4.22
587.0, 1.3740, 4.23
588.0, 1.3755, 4.21
589.0, 1.3764, 4.20
590.0, 1.3775, 4.19
591.0, 1.3763, 4.20
592.0, 1.3777, 4.19
593.0, 1.3782, 4.19
594.0, 1.3783, 4.18
595.0, 1.3792, 4.18
596.0, 1.3803, 4.17
597.0, 1.3794, 4.17
598.0, 1.3805, 4.16
599.0, 1.3810, 4.16
600.0, 1.3813, 4.16
601.0, 1.3814, 4.16
602.0, 1.3807, 4.16
603.0, 1.3814, 4.15
604.0, 1.3819, 4.15
605.0, 1.3823, 4.15
606.0, 1.3827, 4.14
607.0, 1.3826, 4.14
608.0, 1.3836, 4.13
609.0, 1.3835, 4.14
610.0, 1.3834, 4.14
611.0, 1.3845, 4.13
612.0, 1.3849, 4.12
613.0, 1.3844, 4.13
614.0, 1.3853, 4.12
615.0, 1.3853, 4.12
616.0, 1.3850, 4.12
617.0, 1.3861, 4.11
618.0, 1.3860, 4.11
619.0, 1.3863, 4.11
620.0, 1.3862, 4.11
621.0, 1.3859, 4.11
622.0, 1.3870, 4.10
623.0, 1.3872, 4.10
624.0, 1.3870, 4.10
625.0, 1.3874, 4.10
626.0, 1.3876, 4.10
627.0, 1.3872, 4.10
628.0, 1.3881, 4.09
629.0, 1.3879, 4.09
630.0, 1.3881, 4.09
631.0, 1.3885, 4.09
632.0, 1.3883, 4.09
633.0, 1.3888, 4.08
634.0, 1.3893, 4.08
635.0, 1.3887, 4.09
636.0, 1.3896, 4.08
637.0, 1.3895, 4.08
638.0, 1.3894, 4.08
639.0, 1.3898, 4.08
640.0, 1.3895, 4.08
641.0, 1.3905, 4.07
642.0, 1.3903, 4.07
643.0, 1.3903, 4.07
644.0, 1.3913, 4.06
645.0, 1.3908, 4.07
646.0, 1.3906, 4.07
647.0, 1.3917, 4.06
648.0, 1.3908, 4.07
649.0, 1.3917, 4.06
650.0, 1.3918, 4.06
651.0, 1.3917, 4.06
652.0, 1.3925, 4.05
653.0, 1.3927, 4.05
654.0, 1.3928, 4.05
655.0, 1.3933, 4.04
656.0, 1.3929, 4.05
657.0, 1.3936, 4.04
658.0, 1.3937, 4.04
659.0, 1.3936, 4.04
660.0, 1.3943, 4.03
661.0, 1.3945, 4.03
662.0, 1.3948, 4.03
663.0, 1.3955, 4.02
664.0, 1.3950, 4.03
665.0, 1.3946, 4.03
666.0, 1.3962, 4.02
667.0, 1.3950, 4.03
668.0, 1.3959, 4.02
669.0, 1.3964, 4.01
670.0, 1.3964, 4.01
671.0, 1.3964, 4.01
672.0, 1.3967, 4.01
673.0, 1.3966, 4.01
674.0, 1.3977, 4.00
675.0, 1.3975, 4.00
676.0, 1.3975, 4.00
677.0, 1.3983, 4.00
678.0, 1.3974, 4.00
679.0, 1.3986, 3.99
680.0, 1.3987, 3.99
681.0, 1.3988, 3.99
682.0, 1.3996, 3.98
683.0, 1.3998, 3.98
684.0, 1.3995, 3.99
685.0, 1.4005, 3.98
686.0, 1.4001, 3.98
687.0, 1.4004, 3.98
688.0, 1.4017, 3.97
689.0, 1.4009, 3.97
690.0, 1.4019, 3.96
691.0, 1.4017, 3.97
692.0, 1.4015, 3.97
693.0, 1.4025, 3.96
694.0, 1.4021, 3.96
695.0, 1.4025, 3.96
696.0, 1.4038, 3.95
697.0, 1.4033, 3.95
698.0, 1.4037, 3.95
699.0, 1.4039, 3.95
700.0, 1.4043, 3.94
701.0, 1.4042, 3.94
702.0, 1.4047, 3.94
703.0, 1.4048, 3.94
704.0, 1.4056, 3.93
705.0, 1.4054, 3.93
706.0, 1.4058, 3.93
707.0, 1.4064, 3.92
708.0, 1.4064, 3.92
709.0, 1.4071, 3.92
710.0, 1.4074, 3.91
711.0, 1.4073, 3.91
712.0, 1.4073, 3.91
713.0, 1.4077, 3.91
714.0, 1.4078, 3.91
715.0, 1.4089, 3.90
716.0, 1.4087, 3.90
717.0, 1.4094, 3.90
718.0, 1.4098, 3.89
719.0, 1.4101, 3.89
720.0, 1.4124, 3.87
721.0, 1.4109, 3.88
722.0, 1.4104, 3.89
723.0, 1.4113, 3.88
724.0, 1.4113, 3.88
725.0, 1.4110, 3.88
726.0, 1.4128, 3.87
727.0, 1.4121, 3.87
728.0, 1.4127, 3.87
729.0, 1.4131, 3.86
730.0, 1.4125, 3.87
731.0, 1.4145, 3.85
732.0, 1.4145, 3.85
733.0, 1.4140, 3.85
734.0, 1.4151, 3.85
735.0, 1.4154, 3.84
736.0, 1.4148, 3.85
737.0, 1.4151, 3.85
738.0, 1.4157, 3.84
739.0, 1.4158, 3.84
740.0, 1.4170, 3.83
741.0, 1.4167, 3.83
742.0, 1.4183, 3.82
743.0, 1.4175, 3.82
744.0, 1.4176, 3.82
745.0, 1.4188, 3.81
746.0, 1.4182, 3.82
747.0, 1.4188, 3.81
748.0, 1.4199, 3.80
749.0, 1.4195, 3.81
750.0, 1.4199, 3.80
751.0, 1.4203, 3.80
752.0, 1.4203, 3.80
753.0, 1.4206, 3.80
754.0, 1.4216, 3.79
755.0, 1.4215, 3.79
756.0, 1.4230, 3.78
757.0, 1.4216, 3.79
758.0, 1.4228, 3.78
759.0, 1.4233, 3.77
760.0, 1.4238, 3.77
761.0, 1.4243, 3.76
762.0, 1.4243, 3.76
763.0, 1.4237, 3.77
764.0, 1.4254, 3.75
765.0, 1.4246, 3.76
766.0, 1.4256, 3.75
767.0, 1.4265, 3.75
768.0, 1.4255, 3.75
769.0, 1.4270, 3.74
