 WL        Abs       T%
 190.0  3.075562   0.084031
 191.0  2.903129   0.124989
 192.0  3.251530   0.056036
 193.0  2.703438   0.197953
 194.0  3.338340   0.045884
 195.0  3.256647   0.055380
 196.0  3.313094   0.048630
 197.0  3.113024   0.077086
 198.0  3.111337   0.077386
 199.0  3.567009   0.027101
 200.0  3.238658   0.057722
 201.0  2.901016   0.125598
 202.0  3.307363   0.049276
 203.0  3.338954   0.045819
 204.0  3.788428   0.016277
 205.0  3.290969   0.051172
 206.0  3.473424   0.033618
 207.0  3.642860   0.022758
 208.0  3.406559   0.039214
 209.0  4.080338   0.008311
 210.0  3.626529   0.023630
 211.0  3.522363   0.030036
 212.0  3.744058   0.018028
 213.0  3.418798   0.038124
 214.0  3.630936   0.023392
 215.0  4.012289   0.009721
 216.0  3.501224   0.031534
 217.0  3.733973   0.018451
 218.0  3.920084   0.012020
 219.0  3.686036   0.020605
 220.0  3.839918   0.014457
 221.0  3.700778   0.019917
 222.0  3.597805   0.025246
 223.0  3.857682   0.013878
 224.0  3.657414   0.022008
 225.0  3.718063   0.019140
 226.0  3.962689   0.010897
 227.0  3.611688   0.024452
 228.0  3.964354   0.010855
 229.0  3.721198   0.019002
 230.0  3.662723   0.021741
 231.0  4.087427   0.008177
 232.0  3.608288   0.024644
 233.0  3.605233   0.024818
 234.0  4.078396   0.008348
 235.0  3.596927   0.025297
 236.0  3.767774   0.017070
 237.0  4.063209   0.008646
 238.0  3.493344   0.032111
 239.0  4.052027   0.008871
 240.0  3.679298   0.020927
 241.0  3.566136   0.027156
 242.0  3.915044   0.012161
 243.0  3.514972   0.030551
 244.0  3.559308   0.027586
 245.0  4.036203   0.009200
 246.0  3.560053   0.027539
 247.0  3.816533   0.015257
 248.0  3.915202   0.012156
 249.0  3.519159   0.030258
 250.0  4.043375   0.009049
 251.0  3.676824   0.021046
 252.0  3.677438   0.021017
 253.0  4.045375   0.009008
 254.0  3.521792   0.030075
 255.0  3.617092   0.024149
 256.0  3.915545   0.012147
 257.0  3.473102   0.033643
 258.0  3.811347   0.015440
 259.0  3.660445   0.021855
 260.0  3.545706   0.028464
 261.0  3.794516   0.016050
 262.0  3.532387   0.029350
 263.0  3.700834   0.019914
 264.0  4.169983   0.006761
 265.0  3.508934   0.030979
 266.0  3.610112   0.024541
 267.0  3.748467   0.017846
 268.0  3.485516   0.032695
 269.0  3.829336   0.014814
 270.0  3.469691   0.033909
 271.0  3.571726   0.026809
 272.0  3.932863   0.011672
 273.0  3.450318   0.035455
 274.0  3.554645   0.027884
 275.0  3.793825   0.016076
 276.0  3.392996   0.040458
 277.0  3.691506   0.020347
 278.0  3.689682   0.020432
 279.0  3.307817   0.049225
 280.0  3.686511   0.020582
 281.0  3.384336   0.041273
 282.0  3.538305   0.028953
 283.0  3.905256   0.012438
 284.0  3.536468   0.029076
 285.0  3.602205   0.024992
 286.0  3.902076   0.012529
 287.0  3.299126   0.050220
 288.0  3.678573   0.020962
 289.0  3.678355   0.020972
 290.0  3.335804   0.046153
 291.0  4.075930   0.008396
 292.0  3.422882   0.037768
 293.0  3.473834   0.033587
 294.0  4.075547   0.008403
 295.0  3.421458   0.037892
 296.0  3.471347   0.033779
 297.0  3.674053   0.021181
 298.0  3.256699   0.055373
 299.0  3.668833   0.021437
 300.0  3.462117   0.034505
 301.0  3.320713   0.047785
 302.0  3.756636   0.017513
 303.0  3.313925   0.048537
 304.0  3.309785   0.049002
 305.0  3.569023   0.026976
 306.0  3.112743   0.077136
 307.0  3.224772   0.059597
 308.0  3.104025   0.078700
 309.0  2.867244   0.135755
 310.0  2.892878   0.127974
 311.0  2.717234   0.191764
 312.0  2.598117   0.252280
 313.0  2.675864   0.210929
 314.0  2.401641   0.396606
 315.0  2.354462   0.442118
 316.0  2.234024   0.583412
 317.0  2.159438   0.692726
 318.0  2.097506   0.798903
 319.0  2.000546   0.998745
 320.0  1.956338   1.105764
 321.0  1.897366   1.266584
 322.0  1.832545   1.470466
 323.0  1.792062   1.614128
 324.0  1.738363   1.826575
 325.0  1.692692   2.029119
 326.0  1.663603   2.169689
 327.0  1.619494   2.401628
 328.0  1.592932   2.553101
 329.0  1.561147   2.746964
 330.0  1.523024   2.998995
 331.0  1.501106   3.154232
 332.0  1.471151   3.379476
 333.0  1.441761   3.616092
 334.0  1.426037   3.749411
 335.0  1.401769   3.964893
 336.0  1.384787   4.122995
 337.0  1.371872   4.247444
 338.0  1.353242   4.433619
 339.0  1.342770   4.541821
 340.0  1.333532   4.639464
 341.0  1.325259   4.728691
 342.0  1.308802   4.911316
 343.0  1.302887   4.978662
 344.0  1.292569   5.098361
 345.0  1.281577   5.229053
 346.0  1.281333   5.231988
 347.0  1.269476   5.376804
