 WL        Abs       T%
 402.0  1.383665   4.133664
 403.0  1.380254   4.166261
 404.0  1.380607   4.162874
 405.0  1.378595   4.182204
 406.0  1.375048   4.216502
 407.0  1.373758   4.229038
 408.0  1.369594   4.269785
 409.0  1.368808   4.277524
 410.0  1.364313   4.322026
 411.0  1.358411   4.381161
 412.0  1.354391   4.421901
 413.0  1.346011   4.508056
 414.0  1.336462   4.608274
 415.0  1.329132   4.686712
 416.0  1.316133   4.829107
 417.0  1.305323   4.950822
 418.0  1.293363   5.089058
 419.0  1.278612   5.264874
 420.0  1.266230   5.417140
 421.0  1.251048   5.609856
 422.0  1.235707   5.811566
 423.0  1.221547   6.004173
 424.0  1.204747   6.240987
 425.0  1.187889   6.487999
 426.0  1.171655   6.735108
 427.0  1.153278   7.026228
 428.0  1.136728   7.299152
 429.0  1.120061   7.584718
 430.0  1.101262   7.920237
 431.0  1.084181   8.237939
 432.0  1.066247   8.585247
 433.0  1.048396   8.945493
 434.0  1.033198   9.264084
 435.0  1.015748   9.643879
 436.0  0.999875  10.002883
 437.0  0.983987  10.375595
 438.0  0.967680  10.772575
 439.0  0.953069  11.141164
 440.0  0.938700  11.515954
 441.0  0.924366  11.902391
 442.0  0.911905  12.248833
 443.0  0.898410  12.635427
 444.0  0.885994  13.001863
 445.0  0.874770  13.342266
 446.0  0.862777  13.715874
 447.0  0.852837  14.033401
 448.0  0.843011  14.354534
 449.0  0.831852  14.728132
 450.0  0.822692  15.042095
 451.0  0.816893  15.244296
 452.0  0.806700  15.606306
 453.0  0.797153  15.953188
 454.0  0.787936  16.295353
 455.0  0.779875  16.600636
 456.0  0.771645  16.918249
 457.0  0.763835  17.225241
 458.0  0.757233  17.489086
 459.0  0.750314  17.769922
 460.0  0.743403  18.054996
 461.0  0.737427  18.305128
 462.0  0.730540  18.597752
 463.0  0.724856  18.842758
 464.0  0.719151  19.091877
 465.0  0.713549  19.339762
 466.0  0.709030  19.542027
 467.0  0.704067  19.766668
 468.0  0.699510  19.975143
 469.0  0.695697  20.151283
 470.0  0.691402  20.351564
 471.0  0.687691  20.526222
 472.0  0.684010  20.700947
 473.0  0.679527  20.915714
 474.0  0.675683  21.101677
 475.0  0.671847  21.288883
 476.0  0.668194  21.468733
 477.0  0.665582  21.598202
 478.0  0.662266  21.763763
 479.0  0.659611  21.897209
 480.0  0.657146  22.021837
 481.0  0.654125  22.175581
 482.0  0.651917  22.288593
 483.0  0.649691  22.403128
 484.0  0.647062  22.539196
 485.0  0.645114  22.640495
 486.0  0.642572  22.773392
 487.0  0.641034  22.854204
 488.0  0.639063  22.958168
 489.0  0.636894  23.073116
 490.0  0.635324  23.156664
 491.0  0.633067  23.277327
 492.0  0.631634  23.354267
 493.0  0.629875  23.449013
 494.0  0.628228  23.538160
 495.0  0.626719  23.620047
 496.0  0.625233  23.701015
 497.0  0.623658  23.787111
 498.0  0.621985  23.878965
 499.0  0.620709  23.949215
 500.0  0.619489  24.016573
 501.0  0.618298  24.082527
 502.0  0.616769  24.167456
 503.0  0.616009  24.209763
 504.0  0.614598  24.288551
 505.0  0.613405  24.355392
 506.0  0.612671  24.396608
 507.0  0.611758  24.447926
 508.0  0.610831  24.500183
 509.0  0.609915  24.551880
 510.0  0.608453  24.634695
 511.0  0.607684  24.678316
 512.0  0.606952  24.719976
 513.0  0.605806  24.785311
 514.0  0.604883  24.838037
 515.0  0.604241  24.874737
 516.0  0.603326  24.927204
 517.0  0.602515  24.973837
 518.0  0.601888  25.009886
 519.0  0.601124  25.053963
 520.0  0.600688  25.079103
 521.0  0.599802  25.130331
 522.0  0.599159  25.167553
 523.0  0.598384  25.212482
 524.0  0.597685  25.253139
 525.0  0.597053  25.289883
 526.0  0.596773  25.306181
 527.0  0.596142  25.342968
 528.0  0.595737  25.366659
 529.0  0.595182  25.399055
 530.0  0.594462  25.441200
 531.0  0.594097  25.462593
 532.0  0.593778  25.481318
 533.0  0.593509  25.497093
 534.0  0.592970  25.528755
 535.0  0.592137  25.577768
 536.0  0.591565  25.611492
 537.0  0.591120  25.637741
 538.0  0.590675  25.664019
 539.0  0.590230  25.690363
 540.0  0.589830  25.714041
 541.0  0.589625  25.726175
 542.0  0.589303  25.745220
 543.0  0.588915  25.768263
 544.0  0.588867  25.771105
 545.0  0.588265  25.806833
 546.0  0.587848  25.831615
 547.0  0.587679  25.841673
 548.0  0.587055  25.878839
 549.0  0.586608  25.905506
 550.0  0.586598  25.906075
 551.0  0.586168  25.931757
 552.0  0.585943  25.945221
 553.0  0.585451  25.974594
 554.0  0.584976  26.003035
 555.0  0.584824  26.012144
 556.0  0.584196  26.049770
 557.0  0.583740  26.077171
 558.0  0.583743  26.076956
 559.0  0.583290  26.104198
 560.0  0.582930  26.125841
 561.0  0.582860  26.130030
 562.0  0.582369  26.159603
 563.0  0.582415  26.156816
 564.0  0.582208  26.169285
 565.0  0.582069  26.177668
 566.0  0.581783  26.194927
 567.0  0.581533  26.210016
 568.0  0.581504  26.211771
 569.0  0.581612  26.205254
 570.0  0.581640  26.203556
 571.0  0.581527  26.210382
 572.0  0.581247  26.227274
 573.0  0.580827  26.252619
 574.0  0.580768  26.256187
 575.0  0.580532  26.270504
 576.0  0.580642  26.263821
 577.0  0.580658  26.262854
 578.0  0.580269  26.286373
 579.0  0.580259  26.287008
 580.0  0.580146  26.293848
 581.0  0.579641  26.324461
 582.0  0.579714  26.320004
 583.0  0.579444  26.336349
 584.0  0.579139  26.354856
 585.0  0.579428  26.337378
 586.0  0.581300  26.224064
 587.0  0.581071  26.237873
 588.0  0.580807  26.253881
 589.0  0.580803  26.254097
 590.0  0.580569  26.268261
 591.0  0.580245  26.287874
 592.0  0.580281  26.285658
 593.0  0.580153  26.293438
 594.0  0.579940  26.306295
 595.0  0.579263  26.347363
 596.0  0.579258  26.347689
 597.0  0.578708  26.381056
 598.0  0.578665  26.383627
 599.0  0.578519  26.392523
 600.0  0.578422  26.398405
 601.0  0.577846  26.433456
 602.0  0.576870  26.492962
 603.0  0.576763  26.499477
 604.0  0.576425  26.520086
 605.0  0.576526  26.513914
 606.0  0.576185  26.534758
 607.0  0.576108  26.539434
 608.0  0.575852  26.555086
 609.0  0.575658  26.566963
 610.0  0.575648  26.567575
 611.0  0.575352  26.585682
 612.0  0.575325  26.587317
 613.0  0.575257  26.591536
 614.0  0.575013  26.606443
 615.0  0.574877  26.614815
 616.0  0.574759  26.622005
 617.0  0.574443  26.641384
 618.0  0.574394  26.644390
 619.0  0.574233  26.654264
 620.0  0.574013  26.667782
 621.0  0.573885  26.675636
 622.0  0.573799  26.680939
